path,total_lines,inspected_line_start,inspected_line_end,coverage_percent,inspection_method,relevant_symbols_found,evidence_threads_relevance,notes
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_a.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_1_part_b.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_a.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_2_part_b.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_a.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_3_part_b.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_4_part_a.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_4_part_b.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_5_part_a.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/multi_hop/case_5_part_b.md,4,1,4,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_alpha.md,7,1,7,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_beta.md,7,1,7,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_delta.md,7,1,7,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_epsilon.md,7,1,7,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/fixtures/synthetic/retrieval/retrieval_gamma.md,7,1,7,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/ResearchFixtures/tiny_research_suite/manifest.json,447,1,447,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Benchmarks/rag_validation_sample.json,133,1,133,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
CHANGELOG.md,198,1,198,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
Docs/ARCHITECTURE.md,133,1,133,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/AppleIntelligenceTransitionPlan.md,181,1,181,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/chat_state_callgraph.md,79,1,79,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/evidence_threads_decision_log.md,47,1,47,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/persistence_map.csv,15,1,15,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/repo_file_inventory.csv,544,1,544,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/routing_map.csv,4,1,4,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/swift_symbol_inventory.csv,998,1,998,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/AuditArtifacts/sync_boundary_map.csv,11,1,11,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/BILLING_AND_LIMITS.md,48,1,48,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/DEMO.md,36,1,36,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/EVALS.md,72,1,72,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,1737,1,1737,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Engineering/APPLE_FM_TECH_REPORT_2025.md,385,1,385,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Engineering/APPLE_MODELS.md,663,1,663,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/Engineering/HARD_LIMITS.md,123,1,123,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Engineering/PRIVATE_CLOUD_COMPUTE.md,94,1,94,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Engineering/RAG_TECHNICAL.md,645,1,645,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Engineering/STORAGE_AND_PIPELINE_TRACE.md,183,1,183,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/FULL_REPO_EVIDENCE_THREADS_ARCHITECTURE_AUDIT.md,479,1,479,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/FULL_REPO_EVIDENCE_THREADS_AUDIT_VERIFICATION.md,251,1,251,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/INGESTION_PIPELINE.md,62,1,62,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/LIMITATIONS.md,32,1,32,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/PRIVACY_AND_ROUTING.md,44,1,44,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT.md,85,1,85,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT_V2.md,82,1,82,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/RELEASE_NOTES.md,182,1,182,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/RETRIEVAL_PIPELINE.md,60,1,60,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/ROADMAP.md,29,1,29,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Research/APPLE_INTELLIGENCE_AND_FOUNDATION_MODELS.md,50,1,50,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
Docs/Research/CAG_AND_CONTEXT_ENGINEERING_2024_2026.md,56,1,56,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Research/COREML_METAL_ON_DEVICE_AI.md,40,1,40,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Research/DOCUMENT_INTELLIGENCE_AND_OCR.md,37,1,37,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Research/RAG_AND_RETRIEVAL_2024_2026.md,62,1,62,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/Research/README.md,25,1,25,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/README.md,39,1,39,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/sample_1page.txt,23,1,23,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/sample_empty.txt,0,1,1,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/sample_special_chars.txt,27,1,27,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/sample_technical.md,59,1,59,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/sample_unicode.txt,51,1,51,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/TestDocuments/sample_whitespace.txt,45,1,45,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
Docs/USER_CHANGELOG.md,121,1,121,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
HOW_IT_WORKS.md,45,1,45,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
OpenIntelligence.xcodeproj/xcshareddata/xcodecloud/manifest.json,9,1,9,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
OpenIntelligence/App/ContentView.swift,407,1,407,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/App/DebugRAGValidationHarness.swift,480,1,480,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/App/OpenIntelligenceApp.swift,188,1,188,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Extensions/KeychainStorage.swift,58,1,58,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Extensions/LaunchArguments.swift,40,1,40,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,785,1,785,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Extensions/NetworkMonitor.swift,29,1,29,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/ChatMessage.swift,157,1,157,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/CloudTransmission.swift,72,1,72,100,static code analysis & regex validation,4,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/DocumentChunk.swift,679,1,679,100,static code analysis & regex validation,11,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/EvidenceSource.swift,18,1,18,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/IngestionItem.swift,359,1,359,100,static code analysis & regex validation,5,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,76,1,76,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/KnowledgeContainer.swift,526,1,526,100,static code analysis & regex validation,7,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/LLMModel.swift,240,1,240,100,static code analysis & regex validation,7,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/LLMModelType.swift,242,1,242,100,static code analysis & regex validation,7,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/ModelResolutionState.swift,111,1,111,100,static code analysis & regex validation,10,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/QueryRuntimeBridge.swift,54,1,54,100,static code analysis & regex validation,0,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/RAGQualityMode.swift,340,1,340,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/RAGQuery.swift,229,1,229,100,static code analysis & regex validation,6,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/RAGStructuredResponse.swift,293,1,293,100,static code analysis & regex validation,13,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/StructuredAnswer.swift,1201,1,1201,100,static code analysis & regex validation,7,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/ThinkingEvent.swift,201,1,201,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Models/WorkspaceTier.swift,32,1,32,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Protocols/EngineInterfaces.swift,80,1,80,100,static code analysis & regex validation,6,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,201,1,201,100,static code analysis & regex validation,4,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,124,1,124,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Billing/PlanUpgradeEntryPoint.swift,65,1,65,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,774,1,774,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,147,1,147,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Billing/TermsOfServiceView.swift,119,1,119,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Camera/CameraManager.swift,1224,1,1224,100,static code analysis & regex validation,6,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1597,1,1597,100,static code analysis & regex validation,25,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,407,1,407,100,static code analysis & regex validation,3,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Camera/DocumentCaptureView.swift,1037,1,1037,100,static code analysis & regex validation,16,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,69,1,69,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,575,1,575,100,static code analysis & regex validation,13,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/ChatComposerV2.swift,307,1,307,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3912,1,3912,100,static code analysis & regex validation,10,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,239,1,239,100,static code analysis & regex validation,6,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,417,1,417,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,578,1,578,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,463,1,463,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Conversation/ViewAnnotations.swift,72,1,72,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Pipeline/PipelineTraceExporter.swift,268,1,268,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Pipeline/ProcessingModels.swift,71,1,71,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,741,1,741,100,static code analysis & regex validation,8,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,269,1,269,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,335,1,335,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,318,1,318,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,150,1,150,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,1019,1,1019,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,312,1,312,100,static code analysis & regex validation,4,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,225,1,225,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,195,1,195,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/SourceFidelityStatus.swift,112,1,112,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,186,1,186,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/ThinkingStreamView.swift,382,1,382,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/TimingBreakdownView.swift,248,1,248,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/ToolCallBadge.swift,103,1,103,100,static code analysis & regex validation,2,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,4668,1,4668,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,258,1,258,100,static code analysis & regex validation,4,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/VisualEvidenceCard.swift,86,1,86,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Chat/Response/WritingToolsResultSheet.swift,171,1,171,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Database/DatabaseDashboardView.swift,2522,1,2522,100,static code analysis & regex validation,11,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Hub/DeveloperDiagnosticsHubView.swift,286,1,286,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Monitoring/BackendHealthDiagnosticsView.swift,180,1,180,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Monitoring/LiveSystemMonitorWrapper.swift,294,1,294,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Validation/ChunkInspectorView.swift,667,1,667,100,static code analysis & regex validation,7,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Validation/ContainerScopingSelfTestsView.swift,347,1,347,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Validation/CoreValidationView.swift,784,1,784,100,static code analysis & regex validation,13,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Validation/PCCRouteEvaluator.swift,49,1,49,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Validation/RAGAccuracyView.swift,507,1,507,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Diagnostics/Validation/RAGPipelineAuditView.swift,323,1,323,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/ContainerPicker.swift,270,1,270,100,static code analysis & regex validation,3,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/DocumentCard.swift,245,1,245,100,static code analysis & regex validation,3,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/DocumentPicker.swift,137,1,137,100,static code analysis & regex validation,3,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/DocumentQuotaBanner.swift,123,1,123,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/DocumentRow.swift,111,1,111,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/EmptyDocumentsView.swift,202,1,202,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/ProcessingSummaryView.swift,193,1,193,100,static code analysis & regex validation,4,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Components/StatsFooter.swift,78,1,78,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Details/DocumentDetailsView.swift,923,1,923,100,static code analysis & regex validation,3,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Library/CachedDocsView.swift,382,1,382,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Library/DocumentLibraryView.swift,1724,1,1724,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Library/SampleDocumentManager.swift,307,1,307,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Search/SemanticSearchView.swift,328,1,328,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Settings/ColorPicker.swift,551,1,551,100,static code analysis & regex validation,6,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet+Sections.swift,1630,1,1630,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Settings/ContainerSettingsSheet.swift,1352,1,1352,100,static code analysis & regex validation,11,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Documents/Settings/SFSymbolPicker.swift,406,1,406,100,static code analysis & regex validation,3,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Onboarding/OnboardingChecklistLauncher.swift,74,1,74,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Onboarding/OnboardingChecklistView.swift,969,1,969,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Onboarding/OnboardingStateStore.swift,129,1,129,100,static code analysis & regex validation,0,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/AboutView.swift,289,1,289,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/FeatureRow.swift,33,1,33,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/InfoRow.swift,33,1,33,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/ModelConfigurationSheet.swift,614,1,614,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/ModelInfoCard.swift,173,1,173,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/ModelPipelineRow.swift,90,1,90,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/ModelPipelineStage.swift,74,1,74,100,static code analysis & regex validation,3,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/Components/ModelSelectorSheet.swift,226,1,226,100,static code analysis & regex validation,1,direct,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Settings/SettingsView.swift,2571,1,2571,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Dashboard/LiveTelemetryStatsView.swift,362,1,362,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Dashboard/MotherboardHUDView.swift,774,1,774,100,static code analysis & regex validation,2,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Dashboard/TelemetryDashboardView.swift,250,1,250,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Diagnostics/NLChunkingDiagnosticsView.swift,184,1,184,100,static code analysis & regex validation,1,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Visualizations/AdaptiveVisualizationsView.swift,3966,1,3966,100,static code analysis & regex validation,20,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Visualizations/Embedding3DView.swift,4871,1,4871,100,static code analysis & regex validation,25,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Features/Telemetry/Visualizations/VisualizationsView.swift,3665,1,3665,100,static code analysis & regex validation,32,indirect,Verified line-by-line via full repository parser.
OpenIntelligence/Resources/Assets/Assets.xcassets/AccentColor.colorset/Contents.json,20,1,20,100,static code analysis & regex validation,0,none,Verified line-by-line via full repository parser.
