symbol_name,symbol_kind,path,line_range,module_category,relevance,inspected,notes
ChunkingDirective,struct,OpenIntelligence/Core/Models/KnowledgeContainer.swift,383-393,model,direct,yes,Scanned type definition for ChunkingDirective
Source,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,385-395,citation,direct,yes,Scanned type definition for Source
AppSupportPaths,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,425-435,model,direct,yes,Scanned type definition for AppSupportPaths
LLMModel,struct,OpenIntelligence/Core/Models/LLMModel.swift,11-21,model,direct,yes,Scanned type definition for LLMModel
ModelType,enum,OpenIntelligence/Core/Models/LLMModel.swift,45-55,model,direct,yes,Scanned type definition for ModelType
InferencePathway,enum,OpenIntelligence/Core/Models/LLMModel.swift,56-66,model,direct,yes,Scanned type definition for InferencePathway
InferenceConfig,struct,OpenIntelligence/Core/Models/LLMModel.swift,69-79,model,direct,yes,Scanned type definition for InferenceConfig
PCCSettings,enum,OpenIntelligence/Core/Models/LLMModel.swift,141-151,routing,direct,yes,Scanned type definition for PCCSettings
FoundationModelPreference,enum,OpenIntelligence/Core/Models/LLMModel.swift,148-158,model,direct,yes,Scanned type definition for FoundationModelPreference
ExecutionContext,enum,OpenIntelligence/Core/Models/LLMModel.swift,177-187,model,direct,yes,Scanned type definition for ExecutionContext
LLMModelType,enum,OpenIntelligence/Core/Models/LLMModelType.swift,13-23,model,direct,yes,Scanned type definition for LLMModelType
ModelCapabilityCardInfo,struct,OpenIntelligence/Core/Models/LLMModelType.swift,37-47,model,direct,yes,Scanned type definition for ModelCapabilityCardInfo
ModelCapabilityChipInfo,struct,OpenIntelligence/Core/Models/LLMModelType.swift,47-57,model,direct,yes,Scanned type definition for ModelCapabilityChipInfo
Tone,enum,OpenIntelligence/Core/Models/LLMModelType.swift,48-58,model,direct,yes,Scanned type definition for Tone
ModelCapabilityStatInfo,struct,OpenIntelligence/Core/Models/LLMModelType.swift,64-74,model,direct,yes,Scanned type definition for ModelCapabilityStatInfo
Accent,enum,OpenIntelligence/Core/Models/LLMModelType.swift,65-75,model,direct,yes,Scanned type definition for Accent
LLMModelType,extension,OpenIntelligence/Core/Models/LLMModelType.swift,80-90,model,direct,yes,Scanned type definition for LLMModelType
ModelResolutionState,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,11-21,model,direct,yes,Scanned type definition for ModelResolutionState
ResolutionReason,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,19-29,model,direct,yes,Scanned type definition for ResolutionReason
ExecutionPath,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,39-49,model,direct,yes,Scanned type definition for ExecutionPath
ModelStatus,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,67-77,model,direct,yes,Scanned type definition for ModelStatus
LocalModelInfo,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,73-83,model,direct,yes,Scanned type definition for LocalModelInfo
ModelBackendType,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,79-89,model,direct,yes,Scanned type definition for ModelBackendType
ActiveParameters,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,85-95,model,direct,yes,Scanned type definition for ActiveParameters
ModelBackend,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,93-103,model,direct,yes,Scanned type definition for ModelBackend
ModelAutoSelectionPayload,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,102-112,model,direct,yes,Scanned type definition for ModelAutoSelectionPayload
Notification.Name,extension,OpenIntelligence/Core/Models/ModelResolutionState.swift,106-116,model,direct,yes,Scanned type definition for Notification.Name
RAGQualityMode,enum,OpenIntelligence/Core/Models/RAGQualityMode.swift,13-23,RAG,direct,yes,Scanned type definition for RAGQualityMode
RAGQuery,struct,OpenIntelligence/Core/Models/RAGQuery.swift,11-21,RAG,direct,yes,Scanned type definition for RAGQuery
RAGResponse,struct,OpenIntelligence/Core/Models/RAGQuery.swift,26-36,RAG,direct,yes,Scanned type definition for RAGResponse
RetrievedChunk,struct,OpenIntelligence/Core/Models/RAGQuery.swift,57-67,RAG,direct,yes,Scanned type definition for RetrievedChunk
ResponseMetadata,struct,OpenIntelligence/Core/Models/RAGQuery.swift,74-84,RAG,direct,yes,Scanned type definition for ResponseMetadata
ExecutionRoute,struct,OpenIntelligence/Core/Models/RAGQuery.swift,106-116,RAG,direct,yes,Scanned type definition for ExecutionRoute
TokenBudget,struct,OpenIntelligence/Core/Models/RAGQuery.swift,113-123,RAG,direct,yes,Scanned type definition for TokenBudget
RAGAnswerClaim,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,24-34,RAG,direct,yes,Scanned type definition for RAGAnswerClaim
RAGAnswer,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,39-49,RAG,direct,yes,Scanned type definition for RAGAnswer
DirectRAGAnswer,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,61-71,RAG,direct,yes,Scanned type definition for DirectRAGAnswer
RAGSearchResult,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,82-92,RAG,direct,yes,Scanned type definition for RAGSearchResult
RAGSearchResults,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,102-112,RAG,direct,yes,Scanned type definition for RAGSearchResults
RAGDocumentSummary,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,118-128,RAG,direct,yes,Scanned type definition for RAGDocumentSummary
RAGDocumentComparison,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,144-154,RAG,direct,yes,Scanned type definition for RAGDocumentComparison
RAGEnhancedQuery,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,166-176,RAG,direct,yes,Scanned type definition for RAGEnhancedQuery
RAGRetrievalDiagnostics,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,188-198,RAG,direct,yes,Scanned type definition for RAGRetrievalDiagnostics
ReasonedAnswer,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,219-229,RAG,direct,yes,Scanned type definition for ReasonedAnswer
ReasonedInsight,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,238-248,RAG,direct,yes,Scanned type definition for ReasonedInsight
ReasonedSynthesis,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,256-266,RAG,direct,yes,Scanned type definition for ReasonedSynthesis
ChainLink,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,278-288,RAG,direct,yes,Scanned type definition for ChainLink
AnswerType,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,52-62,model,direct,yes,Scanned type definition for AnswerType
Claim,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,65-75,model,direct,yes,Scanned type definition for Claim
VerificationVerdict,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,66-76,model,direct,yes,Scanned type definition for VerificationVerdict
Evidence,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,101-111,model,direct,yes,Scanned type definition for Evidence
DebugInfo,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,127-137,model,direct,yes,Scanned type definition for DebugInfo
StructuredAnswer,extension,OpenIntelligence/Core/Models/StructuredAnswer.swift,164-174,model,direct,yes,Scanned type definition for StructuredAnswer
StructuredAnswer,extension,OpenIntelligence/Core/Models/StructuredAnswer.swift,305-315,model,direct,yes,Scanned type definition for StructuredAnswer
ThinkingEvent,struct,OpenIntelligence/Core/Models/ThinkingEvent.swift,6-16,model,direct,yes,Scanned type definition for ThinkingEvent
Kind,enum,OpenIntelligence/Core/Models/ThinkingEvent.swift,7-17,model,direct,yes,Scanned type definition for Kind
WorkspaceTier,enum,OpenIntelligence/Core/Models/WorkspaceTier.swift,5-15,model,direct,yes,Scanned type definition for WorkspaceTier
RetrievalRequest,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,5-15,model,indirect,yes,Scanned type definition for RetrievalRequest
KnowledgeRetrievalEngine,protocol,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,30-40,model,indirect,yes,Scanned type definition for KnowledgeRetrievalEngine
DocumentChunkingOverride,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,35-45,model,indirect,yes,Scanned type definition for DocumentChunkingOverride
IngestedChunk,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,48-58,ingestion,indirect,yes,Scanned type definition for IngestedChunk
IngestedDocumentPayload,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,61-71,ingestion,indirect,yes,Scanned type definition for IngestedDocumentPayload
DocumentIngestionEngine,protocol,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,74-84,ingestion,indirect,yes,Scanned type definition for DocumentIngestionEngine
DSHaptics,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,8-18,model,indirect,yes,Scanned type definition for DSHaptics
LegacyProtectionState,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,106-116,model,indirect,yes,Scanned type definition for LegacyProtectionState
MaximumModeExecutionDecision,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,112-122,model,indirect,yes,Scanned type definition for MaximumModeExecutionDecision
LanguageModelSession,extension,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,190-200,model,indirect,yes,Scanned type definition for LanguageModelSession
OpenIntelligenceRuntimePaths,enum,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,2-12,model,indirect,yes,Scanned type definition for OpenIntelligenceRuntimePaths
OpenIntelligenceResourceBundle,enum,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,69-79,citation,indirect,yes,Scanned type definition for OpenIntelligenceResourceBundle
PlanUpgradeEntryPoint,enum,OpenIntelligence/Features/Billing/PlanUpgradeEntryPoint.swift,4-14,billing,direct,yes,Scanned type definition for PlanUpgradeEntryPoint
PlanUpgradeSheet,struct,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,8-18,billing,direct,yes,Scanned type definition for PlanUpgradeSheet
PrivacyPolicyView,struct,OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,5-15,billing,direct,yes,Scanned type definition for PrivacyPolicyView
TermsOfServiceView,struct,OpenIntelligence/Features/Billing/TermsOfServiceView.swift,4-14,billing,direct,yes,Scanned type definition for TermsOfServiceView
CameraManager,class,OpenIntelligence/Features/Camera/CameraManager.swift,22-32,model,indirect,yes,Scanned type definition for CameraManager
CameraManager,extension,OpenIntelligence/Features/Camera/CameraManager.swift,593-603,model,indirect,yes,Scanned type definition for CameraManager
CameraManager,extension,OpenIntelligence/Features/Camera/CameraManager.swift,777-787,model,indirect,yes,Scanned type definition for CameraManager
CameraManager,extension,OpenIntelligence/Features/Camera/CameraManager.swift,820-830,model,indirect,yes,Scanned type definition for CameraManager
ClassificationCategory,enum,OpenIntelligence/Features/Camera/CameraManager.swift,1078-1088,model,indirect,yes,Scanned type definition for ClassificationCategory
CameraError,enum,OpenIntelligence/Features/Camera/CameraManager.swift,1207-1217,model,indirect,yes,Scanned type definition for CameraError
CameraVisionOverlayView,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,19-29,UI,indirect,yes,Scanned type definition for CameraVisionOverlayView
RegionType,enum,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,675-685,model,indirect,yes,Scanned type definition for RegionType
DetectedRegion,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,720-730,model,indirect,yes,Scanned type definition for DetectedRegion
PoseJoint,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,729-739,model,indirect,yes,Scanned type definition for PoseJoint
PoseConnection,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,737-747,model,indirect,yes,Scanned type definition for PoseConnection
DetectedPose,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,745-755,model,indirect,yes,Scanned type definition for DetectedPose
FrameAnalysis,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,755-765,model,indirect,yes,Scanned type definition for FrameAnalysis
CaptureResult,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,767-777,model,indirect,yes,Scanned type definition for CaptureResult
CaptureType,enum,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,768-778,model,indirect,yes,Scanned type definition for CaptureType
StructuredCaptureElement,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,785-795,model,indirect,yes,Scanned type definition for StructuredCaptureElement
ElementType,enum,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,786-796,model,indirect,yes,Scanned type definition for ElementType
CameraPreviewLayer,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,799-809,UI,indirect,yes,Scanned type definition for CameraPreviewLayer
CameraPreviewUIView,class,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,815-825,UI,indirect,yes,Scanned type definition for CameraPreviewUIView
DetectionOverlayView,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,847-857,UI,indirect,yes,Scanned type definition for DetectionOverlayView
FaceSilhouetteOverlay,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,886-896,model,indirect,yes,Scanned type definition for FaceSilhouetteOverlay
HumanSilhouetteOverlay,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,980-990,model,indirect,yes,Scanned type definition for HumanSilhouetteOverlay
RegionBoundingBox,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1087-1097,model,indirect,yes,Scanned type definition for RegionBoundingBox
PoseWireframeOverlay,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1158-1168,model,indirect,yes,Scanned type definition for PoseWireframeOverlay
HumanWireframe,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1182-1192,model,indirect,yes,Scanned type definition for HumanWireframe
AnimalWireframe,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1276-1286,model,indirect,yes,Scanned type definition for AnimalWireframe
WireframeLine,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1371-1381,model,indirect,yes,Scanned type definition for WireframeLine
WireframeJoint,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1402-1412,model,indirect,yes,Scanned type definition for WireframeJoint
CaptureConfirmationSheet,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1434-1444,model,indirect,yes,Scanned type definition for CaptureConfirmationSheet
StatBadge,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1536-1546,model,indirect,yes,Scanned type definition for StatBadge
MetricPill,struct,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,1560-1570,model,indirect,yes,Scanned type definition for MetricPill
CaptureToRAGBridge,actor,OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,18-28,RAG,indirect,yes,Scanned type definition for CaptureToRAGBridge
CaptureIngestionError,enum,OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,229-239,RAG,indirect,yes,Scanned type definition for CaptureIngestionError
LiveAnalysisService,actor,OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,247-257,RAG,indirect,yes,Scanned type definition for LiveAnalysisService
DocumentCaptureView,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,18-28,UI,indirect,yes,Scanned type definition for DocumentCaptureView
CaptureMode,enum,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,213-223,model,indirect,yes,Scanned type definition for CaptureMode
SmartCaptureResult,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,240-250,model,indirect,yes,Scanned type definition for SmartCaptureResult
SmartCaptureManager,class,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,299-309,model,indirect,yes,Scanned type definition for SmartCaptureManager
CaptureError,enum,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,641-651,model,indirect,yes,Scanned type definition for CaptureError
SmartCaptureManager,extension,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,649-659,model,indirect,yes,Scanned type definition for SmartCaptureManager
SmartCaptureManager,extension,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,668-678,model,indirect,yes,Scanned type definition for SmartCaptureManager
SmartOverlay,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,700-710,model,indirect,yes,Scanned type definition for SmartOverlay
ModeIndicator,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,739-749,model,indirect,yes,Scanned type definition for ModeIndicator
LivePreviewBadge,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,757-767,UI,indirect,yes,Scanned type definition for LivePreviewBadge
CameraPreview,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,777-787,UI,indirect,yes,Scanned type definition for CameraPreview
PreviewView,class,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,788-798,UI,indirect,yes,Scanned type definition for PreviewView
DocumentCorners,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,814-824,model,indirect,yes,Scanned type definition for DocumentCorners
CaptureButton,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,843-853,model,indirect,yes,Scanned type definition for CaptureButton
SmartCaptureConfirmation,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,871-881,model,indirect,yes,Scanned type definition for SmartCaptureConfirmation
FlowResult,struct,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,1002-1012,model,indirect,yes,Scanned type definition for FlowResult
ActivityView,struct,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,11-21,chat,direct,yes,Scanned type definition for ActivityView
ActivityView,struct,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,24-34,chat,direct,yes,Scanned type definition for ActivityView
ChatAttachment,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,22-32,chat,direct,yes,Scanned type definition for ChatAttachment
AttachmentType,enum,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,27-37,chat,direct,yes,Scanned type definition for AttachmentType
PhotoPicker,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,46-56,chat,direct,yes,Scanned type definition for PhotoPicker
Coordinator,class,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,65-75,chat,direct,yes,Scanned type definition for Coordinator
PhotoPicker,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,126-136,chat,direct,yes,Scanned type definition for PhotoPicker
CameraPicker,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,150-160,chat,direct,yes,Scanned type definition for CameraPicker
Coordinator,class,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,166-176,chat,direct,yes,Scanned type definition for Coordinator
CameraPicker,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,211-221,chat,direct,yes,Scanned type definition for CameraPicker
AttachmentPreviewChip,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,226-236,chat,direct,yes,Scanned type definition for AttachmentPreviewChip
AttachmentMenuButton,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,291-301,chat,direct,yes,Scanned type definition for AttachmentMenuButton
ExtendedDocumentPicker,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,335-345,chat,direct,yes,Scanned type definition for ExtendedDocumentPicker
Coordinator,class,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,391-401,chat,direct,yes,Scanned type definition for Coordinator
ExtendedDocumentPicker,struct,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,434-444,chat,direct,yes,Scanned type definition for ExtendedDocumentPicker
ChatComposerV2,struct,OpenIntelligence/Features/Chat/Conversation/ChatComposerV2.swift,12-22,chat,direct,yes,Scanned type definition for ChatComposerV2
ChatComposerV2,extension,OpenIntelligence/Features/Chat/Conversation/ChatComposerV2.swift,254-264,chat,direct,yes,Scanned type definition for ChatComposerV2
ChatScreen,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,185-195,chat,direct,yes,Scanned type definition for ChatScreen
TransformAction,enum,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,2133-2143,chat,direct,yes,Scanned type definition for TransformAction
ChatHeader,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3168-3178,chat,direct,yes,Scanned type definition for ChatHeader
ContextStatusBarView,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3213-3223,chat,direct,yes,Scanned type definition for ContextStatusBarView
CompactChatHeader,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3252-3262,chat,direct,yes,Scanned type definition for CompactChatHeader
QualityModeQuickPicker,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3346-3356,chat,direct,yes,Scanned type definition for QualityModeQuickPicker
AccuracyModeBadge,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3449-3459,chat,direct,yes,Scanned type definition for AccuracyModeBadge
MessageListEmptyContent,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3491-3501,chat,direct,yes,Scanned type definition for MessageListEmptyContent
ChatV2FeatureRow,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3743-3753,chat,direct,yes,Scanned type definition for ChatV2FeatureRow
ComposerStub,struct,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,3769-3779,chat,direct,yes,Scanned type definition for ComposerStub
ToastItem,struct,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,14-24,chat,direct,yes,Scanned type definition for ToastItem
EventToastView,struct,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,57-67,chat,direct,yes,Scanned type definition for EventToastView
ToastStackView,struct,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,101-111,chat,direct,yes,Scanned type definition for ToastStackView
ToastOverlayModifier,struct,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,180-190,chat,direct,yes,Scanned type definition for ToastOverlayModifier
View,extension,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,190-200,chat,direct,yes,Scanned type definition for View
PreviewWrapper,struct,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,200-210,chat,direct,yes,Scanned type definition for PreviewWrapper
MessageActionsBar,struct,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,14-24,chat,direct,yes,Scanned type definition for MessageActionsBar
MessageMetadataPanel,struct,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,227-237,chat,direct,yes,Scanned type definition for MessageMetadataPanel
MessageBubbleV2,struct,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,12-22,chat,direct,yes,Scanned type definition for MessageBubbleV2
VerificationStatus,enum,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,514-524,chat,direct,yes,Scanned type definition for VerificationStatus
MessageListV2,struct,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,9-19,chat,direct,yes,Scanned type definition for MessageListV2
View,extension,OpenIntelligence/Features/Chat/Conversation/ViewAnnotations.swift,12-22,chat,direct,yes,Scanned type definition for View
