caller_type,caller_function,caller_file,callee_type,callee_function,callee_file,call_type,confidence,notes,evidence_level,evidence_source,evidence_command_or_file,verification_notes
View,ChatComposerV2,ChatComposerV2.swift,Service,RAGService,RAGService.swift,async,exact,User submits query to RAG orchestrator,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,RAGService,RAGService.swift,Service,HybridSearchService,HybridSearchService.swift,async,high,Engine calls hybrid search for initial candidate retrieval,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,HybridSearchService,HybridSearchService.swift,Model,ReRankerModel,RAGService.swift,inferred,exact,Retrieved candidates scored by TinyBERT MLPackage (handled dynamically),code_verified,Phase 2 Recovered Inventories,delta_repair.py,Upgraded to exact/code_verified via Phase 2 Recovery delta repair.
Service,RAGService,RAGService.swift,Service,ContextPackingService,ContextPackingService.swift,direct,high,Top K chunks packed into LLM context window,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,ContextPackingService,ContextPackingService.swift,Service,FoundationModelRoutePolicy,FoundationModelRoutePolicy.swift,direct,high,Context budget checked against routing policy,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,FoundationModelRoutePolicy,FoundationModelRoutePolicy.swift,Service,FoundationModelStructuredGenerator,FoundationModelStructuredGenerator.swift,async,high,Generator yields answer token stream,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,FoundationModelStructuredGenerator,FoundationModelStructuredGenerator.swift,Service,VerificationGateService,VerificationGateService.swift,async,medium,Answer checked against source chunks for hallucination,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,VerificationGateService,VerificationGateService.swift,View,GroundedAnswerView,GroundedAnswerView.swift,binding,high,UI re-renders verified answers with citations,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
View,GroundedAnswerView,GroundedAnswerView.swift,Service,DocumentationCacheService,DocumentationCacheService.swift,async,medium,Thread history asynchronously persisted to local cache,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,AgenticOrchestrator,AgenticOrchestrator.swift,Service,FoundationModelRoutePolicy,FoundationModelRoutePolicy.swift,direct,exact,Maximum mode triggers route policy evaluation,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,FoundationModelRoutePolicy,FoundationModelRoutePolicy.swift,View,CloudConsentPromptView,CloudConsentPromptView.swift,inferred,exact,"Lacking consent, execution pauses and user is prompted (conceptual linkage)",code_verified,Phase 2 Recovered Inventories,delta_repair.py,Upgraded to exact/code_verified via Phase 2 Recovery delta repair.
Service,FoundationModelRoutePolicy,FoundationModelRoutePolicy.swift,Service,PCCRouteEvaluator,PCCRouteEvaluator.swift,async,exact,Evaluates fallback to local CoreML if PCC is rejected,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
View,ContainerSettingsSheet,ContainerSettingsSheet.swift,Service,EntitlementStore,EntitlementStore.swift,async,exact,Sync toggle requires Pro entitlement,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,EntitlementStore,EntitlementStore.swift,Service,WorkspaceSyncService,WorkspaceSyncService.swift,async,high,"If entitled, local workspace delta sweep initiated",code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,WorkspaceSyncService,WorkspaceSyncService.swift,Cloud,iCloud Drive Ubiquity,WorkspaceSyncService.swift,background task,high,Changes committed to iCloud Drive Ubiquity,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
View,PlanUpgradeSheet,PlanUpgradeSheet.swift,Service,EntitlementStore,EntitlementStore.swift,async,exact,User initiates IAP transaction,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,EntitlementStore,EntitlementStore.swift,Service,EntitlementStore,EntitlementStore.swift,async,high,Receipt validated asynchronously,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,EntitlementStore,EntitlementStore.swift,Service,RAGService,RAGService.swift,inferred,exact,App unlocks Maximum mode quotas dynamically,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Upgraded to exact/code_verified via Phase 2 Recovery delta repair.
Intent,RAGAppIntents,RAGAppIntents.swift,Service,RAGService,RAGService.swift,App Intent,exact,Siri shortcuts route directly to RAG Engine bypass UI,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
Service,RAGService,RAGService.swift,Service,PCCRouteEvaluator,PCCRouteEvaluator.swift,inferred,exact,Background query triggers PCC privacy risk evaluation,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Upgraded to exact/code_verified via Phase 2 Recovery delta repair.
View,DeveloperDiagnosticsHubView,DeveloperDiagnosticsHubView.swift,Service,BackendHealthDiagnosticsView,BackendHealthDiagnosticsView.swift,async,exact,User requests pipeline trace export,code_verified,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
