channel_type,source_file,source_symbol,destination_file,destination_symbol,key_or_notification_name,data_passed,risk_level,notes,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
UserDefaults keys,DeveloperDiagnosticsHubView.swift,@AppStorage(loggingLevel),Global,UserDefaults,loggingLevel,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DeveloperDiagnosticsHubView.swift,@AppStorage(enablePipelineLogs),Global,UserDefaults,enablePipelineLogs,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DeveloperDiagnosticsHubView.swift,@AppStorage(enablePerformanceLogs),Global,UserDefaults,enablePerformanceLogs,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DeveloperDiagnosticsHubView.swift,@AppStorage(enableLLMLogs),Global,UserDefaults,enableLLMLogs,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DeveloperDiagnosticsHubView.swift,@AppStorage(enableStreamingLogs),Global,UserDefaults,enableStreamingLogs,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DeveloperDiagnosticsHubView.swift,@AppStorage(enableVectorDBLogs),Global,UserDefaults,enableVectorDBLogs,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NotificationCenter notifications,Multiple,Publishers,NLChunkingDiagnosticsView.swift,.onReceive,semanticChunkerDiagnosticsUpdated,Notification payload,MEDIUM,Subscribes to system-wide notification,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,Embedding3DView.swift,@AppStorage(embedding3d_hasSeenOnboarding),Global,UserDefaults,embedding3d_hasSeenOnboarding,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
environment objects,App Hierarchy,Injector,Embedding3DView.swift,@ragService,RAGService,RAGService,LOW,Shared state injected via view hierarchy,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
environment objects,App Hierarchy,Injector,Embedding3DView.swift,@containerService,ContainerService,ContainerService,LOW,Shared state injected via view hierarchy,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
environment objects,App Hierarchy,Injector,VisualizationsView.swift,@ragService,RAGService,RAGService,LOW,Shared state injected via view hierarchy,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
environment objects,App Hierarchy,Injector,VisualizationsView.swift,@containerService,ContainerService,ContainerService,LOW,Shared state injected via view hierarchy,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NotificationCenter notifications,SemanticChunker.swift,NotificationCenter.post,Multiple,Subscribers,semanticChunkerDiagnosticsUpdated,Notification payload,MEDIUM,Broadcasts system-wide notification,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,BackgroundTaskService.swift,UserDefaults.standard,Global,UserDefaults,lastIndexMaintenanceTimestamp,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,BackgroundTaskService.swift,UserDefaults.standard,Global,UserDefaults,lastMaintenanceEntityCount,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,BackgroundTaskService.swift,UserDefaults.standard,Global,UserDefaults,spotlightReindexNeeded,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,BackgroundTaskService.swift,UserDefaults.standard,Global,UserDefaults,lastSpotlightReindexRequest,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,BackgroundTaskService.swift,UserDefaults.standard,Global,UserDefaults,lastAppRefreshTimestamp,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,ContainerService.swift,UserDefaults.standard,Global,UserDefaults,activeContainerId,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DeviceCapabilityService.swift,UserDefaults.standard,Global,UserDefaults,gpuAccelerationLevel,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NotificationCenter notifications,WorkspaceSyncService.swift,NotificationCenter.post,Multiple,Subscribers,localWorkspaceDidChange,Notification payload,MEDIUM,Broadcasts system-wide notification,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,RAGService.swift,UserDefaults.standard,Global,UserDefaults,lastLocalIndexSyncFingerprint,Any,LOW,Direct user defaults interaction,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,RAGService.swift,UserDefaults.standard,Global,UserDefaults,selectedLLMModel,Any,LOW,Direct user defaults interaction,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,RAGService.swift,UserDefaults.standard,Global,UserDefaults,[Consent] Persisted \(provider.shortName) = \(state.rawValue),Any,LOW,Direct user defaults interaction,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,RAGService.swift,UserDefaults.standard,Global,UserDefaults,[Consent Prewarm] Checking key '\(key)' = '\(persistedRaw ?? ,Any,LOW,Direct user defaults interaction,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NotificationCenter notifications,RAGService.swift,NotificationCenter.post,Multiple,Subscribers,NSNotification,Notification payload,MEDIUM,Broadcasts system-wide notification,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,DocumentationCacheService.swift,UserDefaults.standard,Global,UserDefaults,cached_docs,Any,LOW,Direct user defaults interaction,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
NotificationCenter notifications,BNNSVectorDatabase.swift,NotificationCenter.post,Multiple,Subscribers,localWorkspaceDidChange,Notification payload,MEDIUM,Broadcasts system-wide notification,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,VecturaVectorDatabase.swift,UserDefaults.standard,Global,UserDefaults,useExperimentalANNIndex,Any,LOW,Direct user defaults interaction,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UserDefaults keys,IngestionQueueOverlay.swift,@AppStorage(gpuAccelerationLevel),Global,UserDefaults,gpuAccelerationLevel,String/Bool/Int,LOW,State property bound to user defaults,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
