viewmodel_or_store_name,file_path,views_using_it,state_owned,actions_exposed,services_called,persistence_touched,async_tasks,risk_level,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
EntitlementStore,OpenIntelligence/Services/Billing/EntitlementStore.swift,,lastError,"loadDocumentPacks, totalCredits, activePackCount, pruneExpiredPacks, buildSnapshot, currentEffectiveTier, currentLibraryLimit, persistDocumentPacks, persistState, pruneExpiredDocumentPacksIfNeeded",,Yes,Yes,High,,code_verified,high,OpenIntelligence/Services/Billing/EntitlementStore.swift,scan_codebase.py,Extracted VM properties and actions
MaximumModeQuotaStore,OpenIntelligence/Services/Billing/MaximumModeQuotaStore.swift,,,"currentState, consumeIfAllowed, nextResetDate, dayKey",,Yes,No,Medium,,code_verified,high,OpenIntelligence/Services/Billing/MaximumModeQuotaStore.swift,scan_codebase.py,Extracted VM properties and actions
SpeechAnalyzerService,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,,,"canAnalyze, analyze, cancel, performSpeechAnalysis, legacyTranscription",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Document/Analysis/SpeechAnalyzerService.swift,scan_codebase.py,Extracted VM properties and actions
AudioTranscriptionService,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,,,"checkAuthorization, requestAuthorization, canTranscribe, transcribe, cancel, performTranscription, transcribeInSegments, exportSegment, offsetSegments, isNoSpeechError",,Yes,Yes,Medium,,code_verified,high,OpenIntelligence/Services/Document/Extraction/AudioTranscriptionService.swift,scan_codebase.py,Extracted VM properties and actions
TranslationService,OpenIntelligence/Services/Document/Extraction/TranslationService.swift,,,"isLanguagePairInstalled, translate, translateBatch, performBatchTranslation, translateDocumentForIngestion, translateQueryForRetrieval",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Document/Extraction/TranslationService.swift,scan_codebase.py,Extracted VM properties and actions
SettingsStore,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,,"selectedModel, executionContext, fmPreference, temperature, maxTokens, contextLength, topP, frequencyPenalty, presencePenalty, repetitionPenalty, systemPrompt, lenientRetrievalMode, enableFirstFallback, enableSecondFallback, firstFallback, secondFallback, reviewerModeEnabled, applePCCConsent, pccSetting, developerRAGTuningEnabled, reliabilityModeEnabled, defaultEmbeddingProvider, useHighAccuracyEmbeddings, enableQueryRewriting, enableIterativeRetrieval, enableHyDE, enableContextualCompression, enableParentDocumentRetrieval, enableConversationMemory, forceReasoningChain, enableDocumentSummaries, enableQueryRouting, enablePipelineTrace, enableRAGEvaluations, ragQualityMode, appAccentColorHex, showSiliconHUD, hudGlowIntensity, hudShowMetrics, hudShowTaptic, enableSmartReplies, enableContentTagging, enableSpotlightIndexing, enableBackgroundMaintenance, enableWritingTools, enableTranslation, enableSpeechAnalysis, enableScreenAwareness, enableADM3Visuals, smartReplyCount, enableSharedWorkspaceSync","append, fallbackOptions, appendIfNeeded, setSelectedModelProgrammatically, isPrimarySelectionAvailable, setupPipelines, persistAll, applySettingsDebounced","RAGService, WorkspaceSyncService",Yes,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,scan_codebase.py,Extracted VM properties and actions
SettingsStore,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,,,"cloudConsent, setCloudConsent",,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,scan_codebase.py,Extracted VM properties and actions
SettingsStore,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,,,,,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,scan_codebase.py,Extracted VM properties and actions
SettingsStore,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,,,,RAGService,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Configuration/SettingsStore.swift,scan_codebase.py,Extracted VM properties and actions
ContainerService,OpenIntelligence/Services/Infrastructure/Integration/ContainerService.swift,,activeContainerId,"setActive, reloadFromDisk, createContainer, updateContainer, deleteContainer, updateStats, loadContainers, saveContainers, documentCount, chunkCount","WorkspaceSyncService, EntitlementStore",Yes,Yes,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Integration/ContainerService.swift,scan_codebase.py,Extracted VM properties and actions
ImagePlaygroundService,OpenIntelligence/Services/Infrastructure/Integration/ImagePlaygroundService.swift,,"isGenerating, lastGeneratedImageURL, showImagePlayground, imagePlaygroundConcepts, imagePlaygroundSourceText","emit, conceptIsSafe, conceptIsWhitelisted, cleanConceptBase",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Integration/ImagePlaygroundService.swift,scan_codebase.py,Extracted VM properties and actions
HardwareTelemetryState,OpenIntelligence/Services/Infrastructure/Monitoring/HardwareTelemetryState.swift,,,"rebuildComponentActivities, startRealCPUMonitoring, pulse, sustain, startSustainedPulse, batchProgress, reset, reportHaptic, reportKeyboardTap, incrementCounter",EmbeddingService,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/HardwareTelemetryState.swift,scan_codebase.py,Extracted VM properties and actions
ComponentActivity,OpenIntelligence/Services/Infrastructure/Monitoring/HardwareTelemetryState.swift,,,,,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/HardwareTelemetryState.swift,scan_codebase.py,Extracted VM properties and actions
SystemStateMonitor,OpenIntelligence/Services/Infrastructure/Monitoring/SystemStateMonitor.swift,,,"refresh, thermalColor, thermalIcon, batteryIcon, captureState, macAvailableMemory, updateState, setupObservers, triggerThermalHaptic, startPeriodicCapture",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/SystemStateMonitor.swift,scan_codebase.py,Extracted VM properties and actions
TelemetryCenter,OpenIntelligence/Services/Infrastructure/Monitoring/TelemetryCenter.swift,,,"log, append, clear, emit, mirrorToConsoleIfNeeded",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/TelemetryCenter.swift,scan_codebase.py,Extracted VM properties and actions
AdaptivePipelineOptimizer,OpenIntelligence/Services/Infrastructure/Optimization/AdaptivePipelineOptimizer.swift,,userOverrideLevel,"configForQuery, shouldApplyCooldown, applyCooldown, logCurrentState, captureCurrentState, enableBatteryMonitoring, setupObservers, updateState, handleMemoryWarning",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Optimization/AdaptivePipelineOptimizer.swift,scan_codebase.py,Extracted VM properties and actions
LibraryVisualizationEngine,OpenIntelligence/Services/Infrastructure/Presentation/LibraryVisualizationEngine.swift,,,"invalidateCache, analyze, buildProfile, analyzeTopics, generateTopicName, generateTopicNameEnhanced, detectDocumentDomain, matchDomainPatterns, isValidKeyword, extractContentKeywords",,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Presentation/LibraryVisualizationEngine.swift,scan_codebase.py,Extracted VM properties and actions
WorkspaceSyncService,OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift,,,"reconfigureIfNeeded, reconfigureForExplicitICloudOptIn, reconfigureIfNeeded, performReconfigureIfNeeded, resolvePendingBootstrap, connectExistingICloudLibraries, deleteDocumentFromICloud, deleteSharedLibrary, currentDeviceID, ensureItemAvailableLocally","BNNSVectorDatabase, EntitlementStore",Yes,Yes,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Storage/WorkspaceSyncService.swift,scan_codebase.py,Extracted VM properties and actions
AdapterManager,OpenIntelligence/Services/LLM/AdapterManager.swift,,,"loadManifest, saveManifest, availableAdapters, suggestAdapter, keywordsForDomain, installAdapter, removeAdapter, activateAdapter, deactivateAdapter, activeAdapterURL",,Yes,Yes,Medium,,code_verified,high,OpenIntelligence/Services/LLM/AdapterManager.swift,scan_codebase.py,Extracted VM properties and actions
ModelResolutionService,OpenIntelligence/Services/LLM/ModelResolutionService.swift,,isProcessing,"setupObservers, resolveCurrentModel, refresh, determineResolutionReason, isFallbackActive, determineExecutionPath, extractLocalModelInfo, determineModelStatus, extractParameters, updateParameters","RAGService, SettingsStore",No,No,Low,,code_verified,high,OpenIntelligence/Services/LLM/ModelResolutionService.swift,scan_codebase.py,Extracted VM properties and actions
RAGService,OpenIntelligence/Services/RAG/Orchestration/RAGService.swift,,"documents, isProcessing, processingStatus, lastError, lastProcessingSummary, pendingCloudConsent, thinkingEvents","getDocumentName, intelligenceReport, clearIntelligence, refreshIntelligence, runVectorAudit, generateIntelligenceSnapshot, documentsForContainer, chatHistory, preloadChatHistory, persistChatHistory","ChatScreen, ChatMessage, WorkspaceSyncService, ContainerService, DocumentProcessor, EmbeddingService, BNNSVectorDatabase, SQLiteFullTextService, HybridSearchService, LLMService, FoundationModelTokenBudget, AgenticOrchestrator, VerificationGateService, EntitlementStore, SettingsStore, TranscriptPersistenceService",Yes,Yes,Medium,,code_verified,high,OpenIntelligence/Services/RAG/Orchestration/RAGService.swift,scan_codebase.py,Extracted VM properties and actions
