function_name,parent_type,file_path,approximate_line_range,visibility,async,throws,primary_purpose,inputs,outputs,calls_known,called_by_known,reads_files,writes_files,touches_userdefaults,touches_keychain,touches_icloud,touches_pcc_or_cloud,touches_storekit,background_sensitive,app_lifecycle_sensitive,relevance,risk_level,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
applicationSupportDirectory,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,385-388,internal,No,No,Method of DebugRAGValidationHarness,,URL,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
documentsDirectory,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,390-393,internal,No,No,Method of DebugRAGValidationHarness,,URL,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
appDataContainerRoot,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,395-397,internal,No,No,Method of DebugRAGValidationHarness,,URL,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
resolveSandboxPath,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,399-415,internal,No,No,Method of DebugRAGValidationHarness,"
        _ rawPath: String,
        defaultBase: URL,
        isDirectory: Bool
    ",URL,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
parseInputURLs,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,417-434,internal,No,No,Method of DebugRAGValidationHarness,,[URL],,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
parseQualityMode,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,436-448,internal,No,No,Method of DebugRAGValidationHarness,_ rawValue: String?,RAGQualityMode?,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
parsePCCConsent,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,450-462,internal,No,No,Method of DebugRAGValidationHarness,_ rawValue: String?,String?,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
parseBenchmarkEntitlement,DebugRAGValidationHarness,OpenIntelligence/App/DebugRAGValidationHarness.swift,464-478,internal,No,No,Method of DebugRAGValidationHarness,_ rawValue: String?,WorkspaceTier?,,,No,No,Yes,No,No,No,Yes,No,No,Low,High,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from DebugRAGValidationHarness
claim,RunGate,OpenIntelligence/App/DebugRAGValidationHarness.swift,9-15,private,No,No,Method of RunGate,,Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/App/DebugRAGValidationHarness.swift,scan_codebase.py,Method signatures extracted from RunGate
configureIngestionRuntimeBridge,OpenIntelligenceApp,OpenIntelligence/App/OpenIntelligenceApp.swift,40-95,internal,No,No,Method of OpenIntelligenceApp,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/App/OpenIntelligenceApp.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceApp
configureQueryRuntimeBridge,OpenIntelligenceApp,OpenIntelligence/App/OpenIntelligenceApp.swift,97-126,internal,No,No,Method of OpenIntelligenceApp,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/App/OpenIntelligenceApp.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceApp
registerBackgroundTasks,OpenIntelligenceApp,OpenIntelligence/App/OpenIntelligenceApp.swift,132-186,internal,No,No,Method of OpenIntelligenceApp,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/App/OpenIntelligenceApp.swift,scan_codebase.py,Method signatures extracted from OpenIntelligenceApp
setString,KeychainStorage,OpenIntelligence/Core/Extensions/KeychainStorage.swift,9-31,internal,No,No,Method of KeychainStorage,"_ value: String, forKey key: String",Bool,,,No,No,No,Yes,No,No,No,No,No,Low,High,code_verified,high,OpenIntelligence/Core/Extensions/KeychainStorage.swift,scan_codebase.py,Method signatures extracted from KeychainStorage
string,KeychainStorage,OpenIntelligence/Core/Extensions/KeychainStorage.swift,34-48,internal,No,No,Method of KeychainStorage,forKey key: String,String?,,,No,No,No,Yes,No,No,No,No,No,Low,High,code_verified,high,OpenIntelligence/Core/Extensions/KeychainStorage.swift,scan_codebase.py,Method signatures extracted from KeychainStorage
removeValue,KeychainStorage,OpenIntelligence/Core/Extensions/KeychainStorage.swift,51-57,internal,No,No,Method of KeychainStorage,forKey key: String,,,,No,No,No,Yes,No,No,No,No,No,Low,High,code_verified,high,OpenIntelligence/Core/Extensions/KeychainStorage.swift,scan_codebase.py,Method signatures extracted from KeychainStorage
has,LaunchArguments,OpenIntelligence/Core/Extensions/LaunchArguments.swift,10-16,internal,No,No,Method of LaunchArguments,_ flag: String,Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/LaunchArguments.swift,scan_codebase.py,Method signatures extracted from LaunchArguments
value,LaunchArguments,OpenIntelligence/Core/Extensions/LaunchArguments.swift,19-23,internal,No,No,Method of LaunchArguments,for key: String,String?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/LaunchArguments.swift,scan_codebase.py,Method signatures extracted from LaunchArguments
value,LaunchArguments,OpenIntelligence/Core/Extensions/LaunchArguments.swift,26-34,internal,No,No,Method of LaunchArguments,after key: String,String?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/LaunchArguments.swift,scan_codebase.py,Method signatures extracted from LaunchArguments
valueEither,LaunchArguments,OpenIntelligence/Core/Extensions/LaunchArguments.swift,37-39,internal,No,No,Method of LaunchArguments,for key: String,String?,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/LaunchArguments.swift,scan_codebase.py,Method signatures extracted from LaunchArguments
headingView,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,417-443,internal,No,No,Method of MarkdownBlockView,"level: Int, text: String",some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
bulletListView,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,446-459,internal,No,No,Method of MarkdownBlockView,items: [String],some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
numberedListView,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,462-479,internal,No,No,Method of MarkdownBlockView,"items: [(number: Int, text: String)]",some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
blockQuoteView,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,482-502,internal,No,No,Method of MarkdownBlockView,text: String,some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
tableView,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,505-551,internal,No,No,Method of MarkdownBlockView,"header: [String], alignments: [MarkdownTableAlignment], rows: [[String]]",some View,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
alignment,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,553-556,internal,No,No,Method of MarkdownBlockView,"for alignments: [MarkdownTableAlignment], index: Int",MarkdownTableAlignment,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
swiftUIAlignment,MarkdownBlockView,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,558-567,internal,No,No,Method of MarkdownBlockView,for alignment: MarkdownTableAlignment,Alignment,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Extensions/MarkdownRenderer.swift,scan_codebase.py,Method signatures extracted from MarkdownBlockView
sanitizedForPersistence,ChatMessage,OpenIntelligence/Core/Models/ChatMessage.swift,111-127,internal,No,No,Method of ChatMessage,,ChatMessage,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Method signatures extracted from ChatMessage
sanitizedRetrievedChunks,ChatMessage,OpenIntelligence/Core/Models/ChatMessage.swift,129-151,internal,No,No,Method of ChatMessage,,[RetrievedChunk]?,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Method signatures extracted from ChatMessage
truncated,ChatMessage,OpenIntelligence/Core/Models/ChatMessage.swift,153-156,internal,No,No,Method of ChatMessage,"_ value: String, maxLength: Int",String,,,No,No,No,No,No,No,No,No,No,Medium,Low,code_verified,high,OpenIntelligence/Core/Models/ChatMessage.swift,scan_codebase.py,Method signatures extracted from ChatMessage
encode,ChunkMetadata,OpenIntelligence/Core/Models/DocumentChunk.swift,374-426,internal,No,Yes,Method of ChunkMetadata,to encoder: Encoder,,,,No,No,No,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Method signatures extracted from ChunkMetadata
encode,Document,OpenIntelligence/Core/Models/DocumentChunk.swift,518-531,internal,No,Yes,Method of Document,to encoder: Encoder,,,,No,No,No,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Method signatures extracted from Document
encode,IngestionItem,OpenIntelligence/Core/Models/IngestionItem.swift,305-323,internal,No,Yes,Method of IngestionItem,to encoder: Encoder,,,,No,No,No,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Method signatures extracted from IngestionItem
hasActiveLease,IngestionItem,OpenIntelligence/Core/Models/IngestionItem.swift,329-335,internal,No,No,Method of IngestionItem,at date: Date = Date,Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Method signatures extracted from IngestionItem
isLeased,IngestionItem,OpenIntelligence/Core/Models/IngestionItem.swift,337-339,internal,No,No,Method of IngestionItem,"to deviceId: String, at date: Date = Date",Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Method signatures extracted from IngestionItem
claimLease,IngestionItem,OpenIntelligence/Core/Models/IngestionItem.swift,341-345,internal,No,No,Method of IngestionItem,"ownerDeviceId: String, duration: TimeInterval, now: Date = Date",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Method signatures extracted from IngestionItem
clearLease,IngestionItem,OpenIntelligence/Core/Models/IngestionItem.swift,347-351,internal,No,No,Method of IngestionItem,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Method signatures extracted from IngestionItem
configureContinuedIngestion,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,33-39,private,No,No,Method of IngestionRuntimeBridge,"
        run: @escaping ContinuedIngestionRun,
        defaultValue: Bool = false, 
        expiration: @escaping ContinuedIngestionExpiration
    ",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
beginUserInitiatedIngestion,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,41-43,internal,No,No,Method of IngestionRuntimeBridge,"title: String, subtitle: String",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
updateContinuedIngestionProgress,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,45-47,internal,No,No,Method of IngestionRuntimeBridge,"title: String, subtitle: String, fraction: Double",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
completeUserInitiatedIngestion,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,49-51,internal,No,No,Method of IngestionRuntimeBridge,success: Bool,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
beginForegroundFallbackIngestion,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,53-55,internal,No,No,Method of IngestionRuntimeBridge,reason: String,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
endForegroundFallbackIngestion,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,57-59,internal,No,No,Method of IngestionRuntimeBridge,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
restoreLiveActivityIfNeeded,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,61-63,internal,No,No,Method of IngestionRuntimeBridge,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
syncLiveActivity,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,65-67,internal,No,No,Method of IngestionRuntimeBridge,"items: [IngestionItem], containerName: String?",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
finishLiveActivity,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,69-71,internal,No,No,Method of IngestionRuntimeBridge,"items: [IngestionItem], containerName: String?",,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
endLiveActivity,IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,73-75,internal,No,No,Method of IngestionRuntimeBridge,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Method signatures extracted from IngestionRuntimeBridge
encode,KnowledgeContainer,OpenIntelligence/Core/Models/KnowledgeContainer.swift,122-144,internal,No,Yes,Method of KnowledgeContainer,to encoder: Encoder,,,,No,No,Yes,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from KnowledgeContainer
highAccuracy,KnowledgeContainer,OpenIntelligence/Core/Models/KnowledgeContainer.swift,195-212,internal,No,No,Method of KnowledgeContainer,"
        name: String,
        icon: String = ""        "",
        colorHex: String = ""       "",
        description: String? = nil
    ",KnowledgeContainer,,,No,No,Yes,No,No,No,No,No,No,Low,Medium,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from KnowledgeContainer
isCloseTo,RetrievalConfig,OpenIntelligence/Core/Models/KnowledgeContainer.swift,294-298,internal,No,No,Method of RetrievalConfig,"_ other: RetrievalConfig, tolerance: Float = 0.08",Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from RetrievalConfig
recommended,RetrievalConfig,OpenIntelligence/Core/Models/KnowledgeContainer.swift,313-381,internal,No,No,Method of RetrievalConfig,forDocumentTypes types: [DocumentType],RetrievalConfig,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from RetrievalConfig
==,ChunkingDirective,OpenIntelligence/Core/Models/KnowledgeContainer.swift,414-421,internal,No,No,Method of ChunkingDirective,"lhs: ChunkingDirective, rhs: ChunkingDirective",Bool,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from ChunkingDirective
configureBaseDir,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,427-429,internal,No,No,Method of AppSupportPaths,_ url: URL?,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
configureLocalCacheDir,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,431-433,internal,No,No,Method of AppSupportPaths,_ url: URL?,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
resetRuntimeDirectories,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,435-437,internal,No,No,Method of AppSupportPaths,,,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
baseDir,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,439-441,internal,No,No,Method of AppSupportPaths,,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
localCacheDir,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,443-445,internal,No,No,Method of AppSupportPaths,,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
containersListURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,447-449,internal,No,No,Method of AppSupportPaths,,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
documentsMetadataURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,451-453,internal,No,No,Method of AppSupportPaths,,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
documentsListURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,455-457,internal,No,No,Method of AppSupportPaths,containerId: UUID,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
vectorsFileURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,459-462,internal,No,No,Method of AppSupportPaths,containerId: UUID,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
chatHistoryURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,464-466,internal,No,No,Method of AppSupportPaths,containerId: UUID,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
suggestedQuestionsURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,468-470,internal,No,No,Method of AppSupportPaths,containerId: UUID,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
ingestionQueueURL,AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,472-474,internal,No,No,Method of AppSupportPaths,,URL,,,No,No,No,No,No,No,No,No,No,Low,Low,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Method signatures extracted from AppSupportPaths
