model_name,file_path,conforms_to,persisted,codable,sendable,identifiable,storage_location_if_persisted,owner_service,used_by,important_fields,schema_or_migration_risk,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
ProcessingMetadata,OpenIntelligence/Core/Models/DocumentChunk.swift,"Codable, Equatable, Sendable",No,Yes,Yes,No,,,,"fileSizeMB: Double, totalCharacters: Int, totalWords: Int, extractionTimeSeconds: Double, chunkingTimeSeconds: Double, embeddingTimeSeconds: Double, totalProcessingTimeSeconds: Double, pagesProcessed: Int?, ocrPagesCount: Int?, chunkStats: ChunkStatistics",Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
ChunkStatistics,OpenIntelligence/Core/Models/DocumentChunk.swift,"Codable, Equatable, Sendable",No,Yes,Yes,No,,,,"averageChars: Int, minChars: Int, maxChars: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
DocumentType,OpenIntelligence/Core/Models/DocumentChunk.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
ProcessingSummary,OpenIntelligence/Core/Models/DocumentChunk.swift,Identifiable,No,No,No,Yes,,,,"id: , filename: String, fileSize: String, documentType: DocumentType, pageCount: Int?, ocrPagesUsed: Int?, totalChars: Int, totalWords: Int, chunksCreated: Int, extractionTime: Double",Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
ChunkStatistics,OpenIntelligence/Core/Models/DocumentChunk.swift,,No,No,No,No,,,,"avgChars: Int, minChars: Int, maxChars: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/DocumentChunk.swift,scan_codebase.py,Parsed model schema
EvidenceSource,OpenIntelligence/Core/Models/EvidenceSource.swift,"Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/EvidenceSource.swift,scan_codebase.py,Parsed model schema
IngestionStage,OpenIntelligence/Core/Models/IngestionItem.swift,"String, CaseIterable, Codable, Sendable",No,Yes,Yes,No,,,,"displayName: String, accumulatedWeight: ",Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Parsed model schema
IngestionEvent,OpenIntelligence/Core/Models/IngestionItem.swift,"Identifiable, Codable, Sendable, Equatable",No,Yes,Yes,Yes,,,,"id: UUID, timestamp: Date, stage: IngestionStage, title: String, detail: String?",Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Parsed model schema
PipelineMetrics,OpenIntelligence/Core/Models/IngestionItem.swift,"Codable, Sendable, Equatable",No,Yes,Yes,No,,,,"fileSizeMB: Double, totalCharacters: Int, totalWords: Int, pageCount: Int, ocrPagesCount: Int, usedStructuredParsing: Bool, structuredParsingQuality: Double, tablesExtracted: Int, tableRowsTotal: Int, tableColumnsMax: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Parsed model schema
IngestionItem,OpenIntelligence/Core/Models/IngestionItem.swift,"Identifiable, Codable, Sendable, Equatable",No,Yes,Yes,Yes,,,,"id: UUID, legacyURL: URL?, storageRelativePath: String?, containerId: UUID?, documentHash: String?, leaseOwnerDeviceId: String?, leaseExpiresAt: Date?, lastLeaseHeartbeatAt: Date?, stage: IngestionStage, detail: String",Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/IngestionItem.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Parsed model schema
IngestionBatchResult,OpenIntelligence/Core/Models/IngestionItem.swift,Sendable,No,No,Yes,No,,,,"successCount: Int, failureCount: Int, totalCount: Int, completedIds: [UUID]",Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Parsed model schema
IngestionRuntimeBridge,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,,No,No,No,No,,,,"shared: , configureContinuedIngestionHandler: ConfigureContinuedIngestionHandler?, beginUserInitiatedIngestionHandler: BeginUserInitiatedIngestionHandler?, updateContinuedIngestionProgressHandler: UpdateProgressHandler?, completeUserInitiatedIngestionHandler: CompleteUserInitiatedIngestionHandler?, beginForegroundFallbackIngestionHandler: IngestionFallbackHandler?, endForegroundFallbackIngestionHandler: VoidHandler?, restoreLiveActivityHandler: VoidHandler?, syncLiveActivityHandler: LiveActivityItemsHandler?, finishLiveActivityHandler: LiveActivityItemsHandler?",Low,,code_verified,high,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Parsed model schema
VectorDBKind,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"String, Codable, CaseIterable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
LibrarySyncMode,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"String, Codable, CaseIterable, Sendable",No,Yes,Yes,No,,,,"displayName: String, shortDescription: String",Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
KnowledgeContainer,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"Identifiable, Codable, Equatable, Sendable",No,Yes,Yes,Yes,,,,"id: UUID, name: String, icon: String, colorHex: String, createdAt: Date, description: String?, embeddingProviderId: String, embeddingDim: Int, vectorDBKind: VectorDBKind, autoAdaptDimension: Bool",Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
RetrievalConfig,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"Codable, Equatable, Sendable",No,Yes,Yes,No,,,,"minSimilarity: Float, vectorWeight: Float, lexicalWeight: Float, mmrLambda: Float, minConfidentChunks: Int, requireExplicitCitations: Bool, highAccuracy: , exploratory: , technicalManual: , summary: String",Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
ChunkingDirective,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"Codable, Equatable, Sendable",No,Yes,Yes,No,,,,"source: Source, strategy: String, targetWordWindow: Int, overlapWords: Int, rationale: [String], updatedAt: Date",Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
Source,OpenIntelligence/Core/Models/KnowledgeContainer.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
AppSupportPaths,OpenIntelligence/Core/Models/KnowledgeContainer.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Parsed model schema
LLMModel,OpenIntelligence/Core/Models/LLMModel.swift,"Identifiable, Codable",No,Yes,No,Yes,,,,"id: UUID, name: String, modelType: ModelType, filePath: URL?, parameterCount: String, quantization: String?, contextLength: Int, contextDescription: String?, availabilityNote: String?, isAvailable: Bool",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
ModelType,OpenIntelligence/Core/Models/LLMModel.swift,"String, Codable",No,Yes,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
InferencePathway,OpenIntelligence/Core/Models/LLMModel.swift,,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
InferenceConfig,OpenIntelligence/Core/Models/LLMModel.swift,,No,No,No,No,,,,"maxTokens: Int, temperature: Float, topP: Float, topK: Int, qualityMode: RAGQualityMode, fmPreference: FoundationModelPreference, useKVCache: Bool, systemPrompt: String?, contextLength: Int?, frequencyPenalty: Float",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
PCCSettings,OpenIntelligence/Core/Models/LLMModel.swift,"String, CaseIterable, Sendable, Codable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
FoundationModelPreference,OpenIntelligence/Core/Models/LLMModel.swift,"String, CaseIterable, Identifiable, Sendable",No,No,Yes,Yes,,,,"id: String, displayName: String, availableCases: [FoundationModelPreference]",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
ExecutionContext,OpenIntelligence/Core/Models/LLMModel.swift,"CaseIterable, Sendable",No,No,Yes,No,,,,"description: String, emoji: String, maxContextTokens: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Parsed model schema
LLMModelType,OpenIntelligence/Core/Models/LLMModelType.swift,"String, CaseIterable, Identifiable",No,No,No,Yes,,,,id: String,Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Parsed model schema
ModelCapabilityCardInfo,OpenIntelligence/Core/Models/LLMModelType.swift,,No,No,No,No,,,,"emoji: String, nickname: String, tagline: String, chips: [ModelCapabilityChipInfo], stats: [ModelCapabilityStatInfo], footer: String",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Parsed model schema
ModelCapabilityChipInfo,OpenIntelligence/Core/Models/LLMModelType.swift,"Identifiable, Hashable",No,No,No,Yes,,,,"id: , icon: String, label: String, detail: String?, tone: Tone",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Parsed model schema
Tone,OpenIntelligence/Core/Models/LLMModelType.swift,String,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Parsed model schema
ModelCapabilityStatInfo,OpenIntelligence/Core/Models/LLMModelType.swift,"Identifiable, Hashable",No,No,No,Yes,,,,"id: , icon: String, label: String, value: String, detail: String, accent: Accent",Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Parsed model schema
Accent,OpenIntelligence/Core/Models/LLMModelType.swift,String,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Parsed model schema
ModelResolutionState,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,"selectedType: LLMModelType, activeModelName: String, resolutionReason: ResolutionReason, executionPath: ExecutionPath, status: ModelStatus, localModelInfo: LocalModelInfo?, activeParameters: ActiveParameters, displayText: String, emoji: String, displayName: String",Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ResolutionReason,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,displayText: String,Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ExecutionPath,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,"emoji: String, displayName: String",Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ModelStatus,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
LocalModelInfo,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,"fileName: String, fileSize: Int64, quantization: String?, backend: ModelBackendType",Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ModelBackendType,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ActiveParameters,OpenIntelligence/Core/Models/ModelResolutionState.swift,Equatable,No,No,No,No,,,,"temperature: Float, maxTokens: Int, topP: Float, contextLength: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ModelBackend,OpenIntelligence/Core/Models/ModelResolutionState.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
ModelAutoSelectionPayload,OpenIntelligence/Core/Models/ModelResolutionState.swift,,No,No,No,No,,,,backend: ,Low,,code_verified,high,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Parsed model schema
QueryRuntimeBridge,OpenIntelligence/Core/Models/QueryRuntimeBridge.swift,,No,No,No,No,,,,"shared: , configureContinuedQueryHandler: ConfigureContinuedQueryHandler?, beginUserInitiatedQueryHandler: BeginUserInitiatedQueryHandler?, updateContinuedQueryProgressHandler: UpdateProgressHandler?, completeUserInitiatedQueryHandler: CompleteUserInitiatedQueryHandler?, beginForegroundFallbackQueryHandler: BeginForegroundFallbackHandler?, endForegroundFallbackQueryHandler: VoidHandler?",Low,,code_verified,high,OpenIntelligence/Core/Models/QueryRuntimeBridge.swift,scan_codebase.py,Parsed model schema
RAGQualityMode,OpenIntelligence/Core/Models/RAGQualityMode.swift,"String, Identifiable, Sendable",No,No,Yes,Yes,,,,"id: String, canonical: RAGQualityMode, userVisibleCases: [RAGQualityMode], displayName: String, description: String, icon: String, initialTopK: Int, minSimilarity: Float, temperature: Float, requiresCitations: Bool",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQualityMode.swift,scan_codebase.py,Parsed model schema
RAGQuery,OpenIntelligence/Core/Models/RAGQuery.swift,Sendable,No,No,Yes,No,,,,"id: UUID, query: String, timestamp: Date, topK: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Parsed model schema
RAGResponse,OpenIntelligence/Core/Models/RAGQuery.swift,Sendable,No,No,Yes,No,,,,"id: UUID, queryId: UUID, retrievedChunks: [RetrievedChunk], generatedResponse: String, metadata: ResponseMetadata, confidenceScore: Float, qualityWarnings: [String], structuredAnswer: StructuredAnswer?",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Parsed model schema
RetrievedChunk,OpenIntelligence/Core/Models/RAGQuery.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"chunk: DocumentChunk, similarityScore: Float, rank: Int, sourceDocument: String, pageNumber: Int?",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Parsed model schema
ResponseMetadata,OpenIntelligence/Core/Models/RAGQuery.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"timeToFirstToken: TimeInterval?, totalGenerationTime: TimeInterval, tokensGenerated: Int, tokensPerSecond: Float?, modelUsed: String, retrievalTime: TimeInterval, retrievalConfigSummary: String, gatingDecision: String?, toolCallsMade: Int?, embeddingProvider: String?",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Parsed model schema
ExecutionRoute,OpenIntelligence/Core/Models/RAGQuery.swift,"Codable, Sendable, Equatable",No,Yes,Yes,No,,,,"path: String, reason: String, policyApplied: String?, emoji: String",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Parsed model schema
TokenBudget,OpenIntelligence/Core/Models/RAGQuery.swift,"Codable, Sendable, Equatable",No,Yes,Yes,No,,,,"totalLimit: Int, systemPrompt: Int, retrievedContext: Int, generation: Int, remaining: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Parsed model schema
RAGAnswerClaim,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"claim: String, citations: [String], isExtracted: Bool",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGAnswer,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"reasoning: String, answer: String, confidence: Int, citations: [String], claims: [RAGAnswerClaim], matchedTerms: [String]",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
DirectRAGAnswer,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"answer: String, confidence: Int, citations: [String], claims: [RAGAnswerClaim], matchedTerms: [String]",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGSearchResult,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"documentName: String, pageNumber: Int, content: String, similarity: Float, relevanceReason: String",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGSearchResults,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"results: [RAGSearchResult], documentsSearched: Int, query: String",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGDocumentSummary,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"name: String, type: String, pageCount: Int, chunkCount: Int, summary: String, topics: [String], dateAdded: String",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGDocumentComparison,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"document1: String, document2: String, similarities: [String], differences: [String], summary: String",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGEnhancedQuery,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"originalQuery: String, expandedQuery: String, entities: [String], intent: String, followUpQuestions: [String]",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
RAGRetrievalDiagnostics,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"vectorHits: Int, bm25Hits: Int, fusedResults: Int, finalResults: Int, latencyMs: Int, embeddingProvider: String, warnings: [String]",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
ReasonedAnswer,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"reasoning: String, answer: String, confidence: Int, sources: [String]",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
ReasonedInsight,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"reasoning: String, insight: String, keyTerms: [String], confidence: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
ReasonedSynthesis,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"reasoning: String, synthesis: String, keyPoints: [String], confidence: Int, sources: [String]",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
ChainLink,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,,No,No,No,No,,,,"reasoning: String, insight: String, nextFocus: String, confidence: Int",Low,,code_verified,high,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Parsed model schema
StructuredAnswerRenderableClaim,OpenIntelligence/Core/Models/StructuredAnswer.swift,,No,No,No,No,,,,"claim: String, citations: [String], verdict: StructuredAnswer.Claim.VerificationVerdict?",Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
StructuredAnswer,OpenIntelligence/Core/Models/StructuredAnswer.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"refuse: Bool, answerType: AnswerType, answer: String, claims: [Claim], evidence: [Evidence], missing: [String], debug: DebugInfo, claim: String, evidenceIds: [String], confidence: Float",Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
AnswerType,OpenIntelligence/Core/Models/StructuredAnswer.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
Claim,OpenIntelligence/Core/Models/StructuredAnswer.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"claim: String, evidenceIds: [String], confidence: Float, isExtracted: Bool, verificationVerdict: VerificationVerdict?, verificationDetails: String?",Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
VerificationVerdict,OpenIntelligence/Core/Models/StructuredAnswer.swift,"String, Codable, Sendable",No,Yes,Yes,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/StructuredAnswer.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
Evidence,OpenIntelligence/Core/Models/StructuredAnswer.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"evidenceId: String, page: Int?, quote: String, documentName: String?, sectionPath: [String]?",Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
CodingKeys,OpenIntelligence/Core/Models/StructuredAnswer.swift,"String, CodingKey",No,No,No,No,,,,,Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
DebugInfo,OpenIntelligence/Core/Models/StructuredAnswer.swift,"Codable, Sendable",No,Yes,Yes,No,,,,"topScore: Float, loops: Int, intent: String, gateResults: [String: Bool]?, generationTimeMs: Int?",Low,,code_verified,high,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Parsed model schema
