service_name,file_path,responsibility,state_owned,public_methods,important_private_methods,dependencies,downstream_callers,reads_from,writes_to,touches_userdefaults,touches_keychain,touches_files,touches_icloud,touches_network_or_cloud,app_intent_reachable,background_reachable,risk_level,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
EmbeddingService,OpenIntelligence/Services/Embedding/EmbeddingService.swift,Handles Embedding processes,,"countTokens, enableIngestionMode, disableIngestionMode, forProvider, validatedDimension, makeLegacyNLEmbeddingProvider, generateEmbedding, generateEmbeddings, generateEmbeddings, validateEmbedding",,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Embedding/EmbeddingService.swift,scan_codebase.py,Extracted methods and state from class
AppleEvaluationsBridge,OpenIntelligence/Services/Evaluation/AppleEvaluationsBridge.swift,Handles AppleEvaluationsBridge processes,,"bridgeResult, exportForFMCLI",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Evaluation/AppleEvaluationsBridge.swift,scan_codebase.py,Extracted methods and state from class
BackgroundTaskService,OpenIntelligence/Services/Infrastructure/Background/BackgroundTaskService.swift,Handles BackgroundTask processes,,"continuedQueryRequestIdentifier, scheduleIndexMaintenance, scheduleSpotlightReindex, scheduleAppRefresh, configureContinuedIngestion, configureContinuedQuery, beginUserInitiatedIngestion, beginUserInitiatedQuery, beginForegroundFallbackIngestionExtensionIfNeeded, beginForegroundFallbackQueryExtensionIfNeeded",continuedIngestionRequestIdentifier,,,Disk,Disk,Yes,No,Yes,No,No,No,Yes,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Background/BackgroundTaskService.swift,scan_codebase.py,Extracted methods and state from class
BackgroundTaskService,OpenIntelligence/Services/Infrastructure/Background/BackgroundTaskService.swift,Handles BackgroundTask processes,,"scheduleSpotlightReindex, scheduleAppRefresh, configureContinuedIngestion, configureContinuedQuery, beginUserInitiatedIngestion, beginUserInitiatedQuery, beginForegroundFallbackIngestionExtensionIfNeeded, endForegroundFallbackIngestionExtension, beginForegroundFallbackQueryExtensionIfNeeded, endForegroundFallbackQueryExtension",scheduleIndexMaintenance,,,,,Yes,No,No,No,No,No,Yes,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Background/BackgroundTaskService.swift,scan_codebase.py,Extracted methods and state from class
IngestionLiveActivityService,OpenIntelligence/Services/Infrastructure/Background/IngestionLiveActivityService.swift,Handles IngestionLiveActivity processes,,"restoreExistingActivityIfNeeded, sync, endCurrentActivity, finish, restorableActivity, discardInactiveActivityIfNeeded, observeCurrentActivityIfNeeded, buildContentState, overallProgress, progressQuantum",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Background/IngestionLiveActivityService.swift,scan_codebase.py,Extracted methods and state from class
IngestionLiveActivityService,OpenIntelligence/Services/Infrastructure/Background/IngestionLiveActivityService.swift,Handles IngestionLiveActivity processes,,"sync, endCurrentActivity, finish",restoreExistingActivityIfNeeded,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Background/IngestionLiveActivityService.swift,scan_codebase.py,Extracted methods and state from class
SpotlightIndexService,OpenIntelligence/Services/Infrastructure/Background/SpotlightIndexService.swift,Handles SpotlightIndex processes,,"deindexContainer, indexDocument, deindexDocument, deindexAllDocuments, reindexAll, indexChunk, indexDocumentChunks, parseSpotlightIdentifier",indexContainer,,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Background/SpotlightIndexService.swift,scan_codebase.py,Extracted methods and state from class
TranscriptPersistenceService,OpenIntelligence/Services/Infrastructure/Background/TranscriptPersistenceService.swift,Handles TranscriptPersistence processes,,"saveTranscript, loadTranscript, deleteTranscript, hasTranscript, saveTranscriptTrimmed, transcriptMetadata",transcriptURL,WorkspaceSyncService,,Disk,Disk,No,No,Yes,Yes,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Background/TranscriptPersistenceService.swift,scan_codebase.py,Extracted methods and state from class
BNNSGraphService,OpenIntelligence/Services/Infrastructure/Compute/BNNSGraphService.swift,Handles BNNSGraph processes,,"batchNormalize, batchCosineSimilarity, softmax, reciprocalRankFusion, pairwiseSimilarityMatrix",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Compute/BNNSGraphService.swift,scan_codebase.py,Extracted methods and state from class
GPUComputeService,OpenIntelligence/Services/Infrastructure/Compute/GPUComputeService.swift,Handles GPUCompute processes,,"clearBufferCache, createResidencySet, makeResident, evictFromResidency, batchCosineSimilarity, batchCosineSimilarityAsync, batchCosineSimilarityFlat, batchCosineSimilarityFlatBuffer, batchNormalize, mmrDiversityMatrix","gpuBatchCosineSimilarity, gpuBatchCosineSimilaritySIMD, cpuBatchCosineSimilarityFlatBuffer, gpuBatchCosineSimilarityFlat, cpuBatchCosineSimilarityFlat, cpuBatchCosineSimilarity, gpuBatchNormalize, gpuBatchNormalizeSIMD, cpuBatchNormalize, gpuDiversityMatrix",,,Disk,Disk,No,No,Yes,No,No,No,No,Medium,,code_verified,high,OpenIntelligence/Services/Infrastructure/Compute/GPUComputeService.swift,scan_codebase.py,Extracted methods and state from class
QuotaPolicy,OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift,Handles QuotaPolicy processes,,"documentLimit, isUnlimitedDocumentLimit, documentLimitDisplayText, libraryLimit",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Configuration/QuotaPolicy.swift,scan_codebase.py,Extracted methods and state from enum
DeviceCapabilityService,OpenIntelligence/Services/Infrastructure/Monitoring/DeviceCapabilityService.swift,Handles DeviceCapability processes,,"estimatedPDFPageMegabytes, setIngestionExecutionProfile, optimizedAgenticConfig, detectFullCapability, detectHostMacCapability, detectCapabilityTier, detectiPhoneCapability, detectiPadCapabilityFull, detectMacCapability, detectMemoryGB",,BNNSVectorDatabase,,,,Yes,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/DeviceCapabilityService.swift,scan_codebase.py,Extracted methods and state from class
AgenticOrchestrator,OpenIntelligence/Services/Infrastructure/Monitoring/DeviceCapabilityService.swift,Handles AgenticOrchestrator processes,,createOptimized,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/DeviceCapabilityService.swift,scan_codebase.py,Extracted methods and state from extension
DeviceCapabilityService,OpenIntelligence/Services/Infrastructure/Monitoring/DeviceCapabilityService.swift,Handles DeviceCapability processes,,logCapabilities,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/DeviceCapabilityService.swift,scan_codebase.py,Extracted methods and state from extension
TelemetryCenter,OpenIntelligence/Services/Infrastructure/Monitoring/TelemetryCenter.swift,Handles TelemetryCenter processes,,emitBillingEvent,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Monitoring/TelemetryCenter.swift,scan_codebase.py,Extracted methods and state from extension
ClusterLabelService,OpenIntelligence/Services/Infrastructure/Presentation/ClusterLabelService.swift,Handles ClusterLabel processes,,"generateClusterLabel, generateClusterLabels, inferDocumentType, invalidateCache, invalidateAllCaches, generateLabelWithLLM, buildLabelingPrompt, cleanGeneratedLabel, isValidLabel, generateHeuristicLabel",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Presentation/ClusterLabelService.swift,scan_codebase.py,Extracted methods and state from actor
LibraryIconSuggestionService,OpenIntelligence/Services/Infrastructure/Presentation/LibraryIconSuggestionService.swift,Handles LibraryIconSuggestion processes,,"suggestIcon, suggestIcons, detectDomain, iconsForDomain",,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Presentation/LibraryIconSuggestionService.swift,scan_codebase.py,Extracted methods and state from enum
LibraryIconSuggestionService,OpenIntelligence/Services/Infrastructure/Presentation/LibraryIconSuggestionService.swift,Handles LibraryIconSuggestion processes,,suggestIconForContainer,,,,,,No,No,No,No,No,No,No,Low,,code_verified,high,OpenIntelligence/Services/Infrastructure/Presentation/LibraryIconSuggestionService.swift,scan_codebase.py,Extracted methods and state from extension
