entity_name,entity_kind,file_path,approximate_line_range,category,architecture_relevance,inspected,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
IngestionEvent,struct,OpenIntelligence/Core/Models/IngestionItem.swift,99-113,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Swift struct parser match
PipelineMetrics,struct,OpenIntelligence/Core/Models/IngestionItem.swift,116-193,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Swift struct parser match
IngestionItem,struct,OpenIntelligence/Core/Models/IngestionItem.swift,195-352,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Swift struct parser match
CodingKeys,enum,OpenIntelligence/Core/Models/IngestionItem.swift,225-242,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Swift enum parser match
IngestionBatchResult,struct,OpenIntelligence/Core/Models/IngestionItem.swift,354-359,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionItem.swift,scan_codebase.py,Swift struct parser match
IngestionRuntimeBridge,class,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,4-76,Model,Medium,Yes,code_verified,exact,OpenIntelligence/Core/Models/IngestionRuntimeBridge.swift,scan_codebase.py,Swift class parser match
VectorDBKind,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,11-15,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift enum parser match
LibrarySyncMode,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,17-38,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift enum parser match
KnowledgeContainer,struct,OpenIntelligence/Core/Models/KnowledgeContainer.swift,40-213,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift struct parser match
CodingKeys,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,72-82,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift enum parser match
RetrievalConfig,struct,OpenIntelligence/Core/Models/KnowledgeContainer.swift,218-382,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift struct parser match
ChunkingDirective,struct,OpenIntelligence/Core/Models/KnowledgeContainer.swift,384-422,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift struct parser match
Source,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,385-389,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift enum parser match
AppSupportPaths,enum,OpenIntelligence/Core/Models/KnowledgeContainer.swift,426-526,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/KnowledgeContainer.swift,scan_codebase.py,Swift enum parser match
LLMModel,struct,OpenIntelligence/Core/Models/LLMModel.swift,11-44,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift struct parser match
ModelType,enum,OpenIntelligence/Core/Models/LLMModel.swift,46-53,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift enum parser match
InferencePathway,enum,OpenIntelligence/Core/Models/LLMModel.swift,56-60,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift enum parser match
InferenceConfig,struct,OpenIntelligence/Core/Models/LLMModel.swift,69-138,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift struct parser match
PCCSettings,enum,OpenIntelligence/Core/Models/LLMModel.swift,141-145,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift enum parser match
FoundationModelPreference,enum,OpenIntelligence/Core/Models/LLMModel.swift,148-176,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift enum parser match
ExecutionContext,enum,OpenIntelligence/Core/Models/LLMModel.swift,178-240,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModel.swift,scan_codebase.py,Swift enum parser match
LLMModelType,enum,OpenIntelligence/Core/Models/LLMModelType.swift,13-32,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift enum parser match
ModelCapabilityCardInfo,struct,OpenIntelligence/Core/Models/LLMModelType.swift,37-44,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift struct parser match
ModelCapabilityChipInfo,struct,OpenIntelligence/Core/Models/LLMModelType.swift,47-61,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift struct parser match
Tone,enum,OpenIntelligence/Core/Models/LLMModelType.swift,48-54,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift enum parser match
ModelCapabilityStatInfo,struct,OpenIntelligence/Core/Models/LLMModelType.swift,64-79,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift struct parser match
Accent,enum,OpenIntelligence/Core/Models/LLMModelType.swift,65-71,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift enum parser match
LLMModelType,extension,OpenIntelligence/Core/Models/LLMModelType.swift,81-242,Extension,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/LLMModelType.swift,scan_codebase.py,Swift extension parser match
ModelResolutionState,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,11-92,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift struct parser match
ResolutionReason,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,20-38,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift enum parser match
ExecutionPath,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,40-66,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift enum parser match
ModelStatus,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,68-72,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift enum parser match
LocalModelInfo,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,74-84,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift struct parser match
ModelBackendType,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,80-83,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift enum parser match
ActiveParameters,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,86-91,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift struct parser match
ModelBackend,enum,OpenIntelligence/Core/Models/ModelResolutionState.swift,94-101,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift enum parser match
ModelAutoSelectionPayload,struct,OpenIntelligence/Core/Models/ModelResolutionState.swift,103-105,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ModelResolutionState.swift,scan_codebase.py,Swift struct parser match
QueryRuntimeBridge,class,OpenIntelligence/Core/Models/QueryRuntimeBridge.swift,4-54,Model,Medium,Yes,code_verified,exact,OpenIntelligence/Core/Models/QueryRuntimeBridge.swift,scan_codebase.py,Swift class parser match
RAGQualityMode,enum,OpenIntelligence/Core/Models/RAGQualityMode.swift,13-340,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQualityMode.swift,scan_codebase.py,Swift enum parser match
RAGQuery,struct,OpenIntelligence/Core/Models/RAGQuery.swift,11-23,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Swift struct parser match
RAGResponse,struct,OpenIntelligence/Core/Models/RAGQuery.swift,26-54,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Swift struct parser match
RetrievedChunk,struct,OpenIntelligence/Core/Models/RAGQuery.swift,57-71,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Swift struct parser match
ResponseMetadata,struct,OpenIntelligence/Core/Models/RAGQuery.swift,74-228,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Swift struct parser match
ExecutionRoute,struct,OpenIntelligence/Core/Models/RAGQuery.swift,107-112,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Swift struct parser match
TokenBudget,struct,OpenIntelligence/Core/Models/RAGQuery.swift,114-120,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGQuery.swift,scan_codebase.py,Swift struct parser match
RAGAnswerClaim,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,24-33,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGAnswer,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,39-57,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
DirectRAGAnswer,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,61-76,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGSearchResult,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,82-97,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGSearchResults,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,102-111,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGDocumentSummary,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,118-139,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGDocumentComparison,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,144-159,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGEnhancedQuery,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,166-181,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
RAGRetrievalDiagnostics,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,188-209,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
ReasonedAnswer,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,219-232,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
ReasonedInsight,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,238-251,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
ReasonedSynthesis,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,256-272,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
ChainLink,struct,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,278-291,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,scan_codebase.py,Swift struct parser match
StructuredAnswerRenderableClaim,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,19-23,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift struct parser match
StructuredAnswer,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,29-161,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift struct parser match
AnswerType,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,52-62,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift enum parser match
Claim,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,65-98,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift struct parser match
VerificationVerdict,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,66-70,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift enum parser match
CodingKeys,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,90-97,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift enum parser match
Evidence,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,101-124,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift struct parser match
CodingKeys,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,117-123,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift enum parser match
DebugInfo,struct,OpenIntelligence/Core/Models/StructuredAnswer.swift,127-150,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift struct parser match
CodingKeys,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,143-149,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift enum parser match
CodingKeys,enum,OpenIntelligence/Core/Models/StructuredAnswer.swift,152-160,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift enum parser match
StructuredAnswer,extension,OpenIntelligence/Core/Models/StructuredAnswer.swift,165-302,Extension,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift extension parser match
Builder,class,OpenIntelligence/Core/Models/StructuredAnswer.swift,167-277,Model,Medium,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift class parser match
StructuredAnswer,extension,OpenIntelligence/Core/Models/StructuredAnswer.swift,306-1201,Extension,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/StructuredAnswer.swift,scan_codebase.py,Swift extension parser match
ThinkingEvent,struct,OpenIntelligence/Core/Models/ThinkingEvent.swift,6-161,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ThinkingEvent.swift,scan_codebase.py,Swift struct parser match
Kind,enum,OpenIntelligence/Core/Models/ThinkingEvent.swift,7-147,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ThinkingEvent.swift,scan_codebase.py,Swift enum parser match
String,extension,OpenIntelligence/Core/Models/ThinkingEvent.swift,197-201,Extension,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/ThinkingEvent.swift,scan_codebase.py,Swift extension parser match
WorkspaceTier,enum,OpenIntelligence/Core/Models/WorkspaceTier.swift,5-32,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Models/WorkspaceTier.swift,scan_codebase.py,Swift enum parser match
RetrievalRequest,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,5-25,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Swift struct parser match
KnowledgeRetrievalEngine,protocol,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,30-32,Service,High,Yes,code_verified,exact,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Swift protocol parser match
DocumentChunkingOverride,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,35-45,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Swift struct parser match
IngestedChunk,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,48-58,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Swift struct parser match
IngestedDocumentPayload,struct,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,61-69,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Swift struct parser match
DocumentIngestionEngine,protocol,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,74-80,Service,High,Yes,code_verified,exact,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,scan_codebase.py,Swift protocol parser match
DSHaptics,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,9-25,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift enum parser match
SpotlightIndexService,class,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,27-73,Service,High,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift class parser match
EntitlementStore,class,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,75-105,ViewModel,High,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift class parser match
LegacyProtectionState,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,107-111,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift enum parser match
MaximumModeExecutionDecision,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,113-117,Model,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift enum parser match
ProjectionCache,class,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,119-125,Unknown,Medium,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift class parser match
TranscriptPersistenceService,class,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,129-145,Service,High,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift class parser match
PrivateCloudComputeLanguageModel,struct,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,156-173,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift struct parser match
QuotaUsage,struct,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,161-171,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift struct parser match
Status,enum,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,162-167,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift enum parser match
ContextOptions,struct,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,176-187,Unknown,Low,Yes,code_verified,exact,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,scan_codebase.py,Swift struct parser match
