view_name,file_path,screen_area,state_variables,bindings,environment_objects,observed_objects,services_used,models_rendered,user_actions,functions_triggered,persistence_touched_indirectly,cloud_or_routing_touched_indirectly,billing_gates_shown,risk_level,relevant_docs,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
CameraVisionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,"cameraManager, detectedRegions, liveOCRText, isCapturing, captureResult, showCaptureConfirmation, selectedRegionType, flashEnabled, aestheticsScore, sceneLabels, detectedObjects, showMetricsHUD, confidenceThreshold, frameRate, lastFrameTime, regionCounts, humanPoses, animalPoses, lastStableDocumentBox, documentStabilityCounter",,dismiss,"ragService, containerService","RAGService, ContainerService",,Button Click,"colorForDetectedObject, handleFrameAnalysis, smoothDocumentRegions, captureTextOnly, performFullCapture",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
DetectionOverlayView,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
FaceSilhouetteOverlay,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
HumanSilhouetteOverlay,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
RegionBoundingBox,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
PoseWireframeOverlay,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
HumanWireframe,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,"convertPoint, anatomicalJointSize, boneThickness",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
AnimalWireframe,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,"convertPoint, animalJointSize, animalBoneThickness",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
WireframeLine,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
WireframeJoint,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
CaptureConfirmationSheet,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,"customTitle, isIngesting",,,"ragService, containerService",,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
StatBadge,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
MetricPill,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,Main,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,scan_codebase.py,Extracted View state properties
SmartOverlay,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Library,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted View state properties
ModeIndicator,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Library,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted View state properties
LivePreviewBadge,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Library,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted View state properties
DocumentCorners,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Library,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted View state properties
CaptureButton,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Library,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted View state properties
SmartCaptureConfirmation,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,Library,isIngesting,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,scan_codebase.py,Extracted View state properties
ActivityView,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,Chat,,,,,,,,"makeUIViewController, updateUIViewController",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,scan_codebase.py,Extracted View state properties
ActivityView,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,Chat,,,dismiss,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,scan_codebase.py,Extracted View state properties
PhotoPicker,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Chat,,,dismiss,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted View state properties
CameraPicker,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Chat,,,dismiss,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted View state properties
AttachmentPreviewChip,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted View state properties
AttachmentMenuButton,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Chat,,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted View state properties
ExtendedDocumentPicker,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,Chat,,,dismiss,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,scan_codebase.py,Extracted View state properties
ChatComposerV2,OpenIntelligence/Features/Chat/Conversation/ChatComposerV2.swift,Chat,"inputText, textHeight, pendingAttachments, showDocumentPicker, showPhotoPicker, showCamera",,,,,,Button Click,"handlePickedFiles, send",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatComposerV2.swift,scan_codebase.py,Extracted View state properties
ChatScreen,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,"showScrollToBottom, messages, didSeedScreenshotDemo, streamingText, streamingBuffer, streamingPumpTask, currentQueryTask, currentQuerySessionId, queryStart, hasReceivedStreamToken, generationStart, embeddingStart, searchingStart, generatingStartTS, embeddingElapsedFinal, searchingElapsedFinal, generatingElapsedFinal, isStreamFinished, nowTick, processingClock, toastManager, currentRetrievedChunks, currentMetadata, currentStructuredAnswer, showRetrievedDetails, thinkingEvents, requestedExecutionContext, isProcessing, stage, execution, ttft, activeDocCount, activeChunkCount, messageContainerOverride, activeCloudConsent, translationText, showTranslation, writingToolsResult, writingToolsTitle, showWritingToolsResult, writingToolsProcessing, showVisionCapture, showPlanSheet, planEntryPoint, showMaximumModeLimitDialog, maximumModeLimitDialogMessage, dynamicSuggestedQuestions, dynamicQuestionCategories, dynamicQuestionDetails, suggestedQuestionsTask, isRefreshingSuggestions, lastProcessedContainerId, lastLoadedChatContainerId, lastProcessedDocuments, isAppeared, needsSuggestedQuestionsRefresh, followUpSuggestions, followUpSuggestionsTask, reviewPromptTask, showFriendlyReviewPrompt, showFeedbackEmailPrompt, speedHistory, lastSpeedSampleTokens, lastSpeedSampleTime, lastSemanticQuery, continuedQueryCoordinator",,"scenePhase, requestReview, openURL, onboardingStore, settings, entitlementStore","ragService, networkMonitor","ChatScreen, ChatMessage, RAGService, EntitlementStore, SettingsStore",ChatMessage,Button Click,"primaryMetricsBar, minimalMetricsBar, deriveQueryIntent, estimateTokens, updateSpeedHistory",Yes,Yes,Yes,High,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
ChatHeader,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
ContextStatusBarView,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,,,,,Yes,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
CompactChatHeader,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,"showModelDetails, deviceCapabilities",messageContainerOverride,settings,containerService,,,,documentCountText,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
QualityModeQuickPicker,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,selectedMode,entitlementStore,,,,,canSelect,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
AccuracyModeBadge,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
StatChip,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
MessageListEmptyContent,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,RAGService,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
FirstQueryPromptView,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,"RAGService, ContainerService, EntitlementStore, SettingsStore",,Button Click,sourceLine,Yes,No,Yes,High,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
ChatV2FeatureRow,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
ComposerStub,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,text,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
AppReviewPromptTracker,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,Chat,,,,,,,,"registerSuccessfulAnswer, markPromptAttempted, storeDistinctUsageDay",Yes,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,scan_codebase.py,Extracted View state properties
EventToastView,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,Chat,isVisible,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,scan_codebase.py,Extracted View state properties
ToastStackView,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,scan_codebase.py,Extracted View state properties
PreviewWrapper,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,Chat,manager,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,scan_codebase.py,Extracted View state properties
MessageActionsBar,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,Chat,"copiedFeedback, feedbackSubmitted",,,,ChatMessage,ChatMessage,Button Click,copyToClipboard,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,scan_codebase.py,Extracted View state properties
ActionButton,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,Chat,,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,scan_codebase.py,Extracted View state properties
MessageMetadataPanel,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,Chat,expanded,,,,,,Button Click,formatTTFT,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,scan_codebase.py,Extracted View state properties
MetricRow,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,scan_codebase.py,Extracted View state properties
MessageBubbleV2,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,Chat,"showActions, showDetails, showFullMetrics, showReportSheet, sharePayload, showReasoningTrace",message,horizontalSizeClass,,"ChatMessage, PipelineTraceExporter",ChatMessage,Button Click,"relativeTime, shareMessage, exportPipelineTrace, toggleHidden, submitReport",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,scan_codebase.py,Extracted View state properties
ReasoningStepView,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,scan_codebase.py,Extracted View state properties
VerificationBadge,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,Chat,,,,,,,,from,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,scan_codebase.py,Extracted View state properties
VerificationStatus,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,Chat,,,,,,,,from,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,scan_codebase.py,Extracted View state properties
MessageListV2,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,Chat,"scrollProxy, isPinnedToBottom","messages, thinkingEvents",,,ChatMessage,ChatMessage,,scrollToBottom,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,scan_codebase.py,Extracted View state properties
EmptyStateV2,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,scan_codebase.py,Extracted View state properties
StreamingBubbleV2,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,Chat,cursorVisible,,horizontalSizeClass,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,scan_codebase.py,Extracted View state properties
TypingBubbleV2,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,Chat,pulse,,horizontalSizeClass,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,scan_codebase.py,Extracted View state properties
LivePipelinePreview,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,scan_codebase.py,Extracted View state properties
BottomAnchorGeometry,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,scan_codebase.py,Extracted View state properties
AnswerIntelligenceView,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,Chat,"isExpanded, selectedSection",,,,,,Button Click,"metricCard, gateRow, sourceRow",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,scan_codebase.py,Extracted View state properties
AnswerIntelligenceBadge,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,scan_codebase.py,Extracted View state properties
AnswerIntelligence,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,Chat,,,,,,,Button Click,"from, gateName, gateIcon",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,scan_codebase.py,Extracted View state properties
ContextUsageIndicator,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,Chat,,,,,,,,"segmentWidth, formatNumber",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,scan_codebase.py,Extracted View state properties
ContextSegment,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,scan_codebase.py,Extracted View state properties
LegendItem,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,scan_codebase.py,Extracted View state properties
CompactContextIndicator,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,scan_codebase.py,Extracted View state properties
CircularContextGauge,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,scan_codebase.py,Extracted View state properties
EnhancedCodeBlock,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,Chat,copied,,,,,,Button Click,copyCode,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,scan_codebase.py,Extracted View state properties
SyntaxHighlightedLine,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,Chat,,,,,,,Button Click,applyHighlighting,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,scan_codebase.py,Extracted View state properties
ContentView,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,Chat,count,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,scan_codebase.py,Extracted View state properties
GroundedAnswerView,OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,Chat,"expandedClaimIndex, selectedCitationChunk",,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,scan_codebase.py,Extracted View state properties
ReportMessageSheet,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,Chat,"reason, notes, shouldHide, includeDebugContext",,dismiss,,ChatMessage,ChatMessage,Button Click,buildReportText,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,scan_codebase.py,Extracted View state properties
ChatResponseDetailsView,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,Chat,showPerformance,,dismiss,,,,Button Click,"routeTraceSection, tokenBudgetSection, tokenBarSegment, tokenBudgetStat, summaryStatItem",No,Yes,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,scan_codebase.py,Extracted View state properties
MatchQualityPill,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,scan_codebase.py,Extracted View state properties
SourceCard,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,Chat,isExpanded,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,scan_codebase.py,Extracted View state properties
PerfMetricRow,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,scan_codebase.py,Extracted View state properties
ResponseDetailMetricRow,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,scan_codebase.py,Extracted View state properties
RetrievalQualityBar,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,Chat,,,,,,,,scoreColor,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,scan_codebase.py,Extracted View state properties
SimilarityBar,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,scan_codebase.py,Extracted View state properties
CompactQualityIndicator,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,scan_codebase.py,Extracted View state properties
QualityGauge,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,scan_codebase.py,Extracted View state properties
QualityRadar,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,Chat,,,,,,,,gaugeColor,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,scan_codebase.py,Extracted View state properties
RetrievalSourcesTray,OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,Chat,"isExpanded, isVisible",,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,scan_codebase.py,Extracted View state properties
ShimmerBar,OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,Chat,phase,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,scan_codebase.py,Extracted View state properties
SourceChipsView,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,Chat,appearedCount,,,,,,,"similarityColor, qualityTier",No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,scan_codebase.py,Extracted View state properties
SourceChip,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,Chat,isPressed,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,scan_codebase.py,Extracted View state properties
MoreChip,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,Chat,,,,,,,Button Click,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,scan_codebase.py,Extracted View state properties
SourceFidelityStatus,OpenIntelligence/Features/Chat/Response/SourceFidelityStatus.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/SourceFidelityStatus.swift,scan_codebase.py,Extracted View state properties
StatusPillV2,OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,Chat,pulsePhase,,,,,,,formatElapsed,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,scan_codebase.py,Extracted View state properties
StageDot,OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,Chat,,,,,,,,,No,No,No,Low,,code_verified,high,OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,scan_codebase.py,Extracted View state properties
