component_id,component_name,subsystem,owning_files,main_entities,entry_points,depends_on,used_by,reads_from,writes_to,sync_boundary,cloud_boundary,billing_boundary,app_intent_boundary,risk_level,relevant_docs,notes,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes
RAGQualityMode,RAGQualityMode,verification gates,OpenIntelligence/Core/Models/RAGQualityMode.swift,RAGQualityMode,,,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
RAGQuery,RAGQuery,retrieval,OpenIntelligence/Core/Models/RAGQuery.swift,"RAGQuery, RAGResponse, RetrievedChunk, ResponseMetadata, ExecutionRoute, TokenBudget","withReasoningTrace, compactedForPersistence",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,RAG orchestrator and general retriever services,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
RAGStructuredResponse,RAGStructuredResponse,generation,OpenIntelligence/Core/Models/RAGStructuredResponse.swift,"RAGAnswerClaim, RAGAnswer, DirectRAGAnswer, RAGSearchResult, RAGSearchResults, RAGDocumentSummary, RAGDocumentComparison, RAGEnhancedQuery, RAGRetrievalDiagnostics, ReasonedAnswer, ReasonedInsight, ReasonedSynthesis, ChainLink",,,,,,no,no,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
StructuredAnswer,StructuredAnswer,verification gates,OpenIntelligence/Core/Models/StructuredAnswer.swift,"StructuredAnswerRenderableClaim, StructuredAnswer, AnswerType, Claim, VerificationVerdict, CodingKeys, Evidence, CodingKeys, DebugInfo, CodingKeys, CodingKeys, Builder","setRefuse, setAnswerType, setAnswer, addClaim, addEvidence",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ThinkingEvent,ThinkingEvent,verification gates,OpenIntelligence/Core/Models/ThinkingEvent.swift,"ThinkingEvent, Kind",compactReasoningTrace,,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
WorkspaceTier,WorkspaceTier,retrieval,OpenIntelligence/Core/Models/WorkspaceTier.swift,WorkspaceTier,isAtLeast,,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
EngineInterfaces,EngineInterfaces,retrieval,OpenIntelligence/Core/Protocols/EngineInterfaces.swift,"RetrievalRequest, KnowledgeRetrievalEngine, DocumentChunkingOverride, IngestedChunk, IngestedDocumentPayload, DocumentIngestionEngine","query, ingestDocument",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,General retriever coordinator,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
EngineSDKCompatibility,EngineSDKCompatibility,PCC routing/consent,OpenIntelligence/Core/Support/EngineSDKCompatibility.swift,"DSHaptics, SpotlightIndexService, EntitlementStore, LegacyProtectionState, MaximumModeExecutionDecision, ProjectionCache, TranscriptPersistenceService, PrivateCloudComputeLanguageModel, QuotaUsage, Status, ContextOptions, ReasoningLevel","selection, soft, light, medium, success","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,yes,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
OpenIntelligenceRuntimePaths,OpenIntelligenceRuntimePaths,app lifecycle,OpenIntelligence/Core/Support/OpenIntelligenceRuntimePaths.swift,"OpenIntelligenceRuntimePaths, OpenIntelligenceResourceBundle, Marker","setBaseDirectory, setLocalCacheDirectory, resetOverrides, applicationSupportRoot, baseDirectory",,,,,no,no,no,no,low,README.md,Application lifecycle bootstrap,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
PlanUpgradeEntryPoint,PlanUpgradeEntryPoint,billing/entitlements,OpenIntelligence/Features/Billing/PlanUpgradeEntryPoint.swift,PlanUpgradeEntryPoint,,"StoreKit, EntitlementStore",library/container management,UserDefaults/Keychain,Keychain,no,no,no,no,high,Docs/BILLING_AND_LIMITS.md,Subscription and paywall management,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
PlanUpgradeSheet,PlanUpgradeSheet,billing/entitlements,OpenIntelligence/Features/Billing/PlanUpgradeSheet.swift,"PlanUpgradeSheet, PlanTierOption, PlanTierCard, PlanStorySlide, BenefitRow","tierCard, storySlideView, canPurchase, priceLabel, priceSuffix","StoreKit, EntitlementStore",library/container management,UserDefaults/Keychain,Keychain,no,yes,yes,no,high,Docs/BILLING_AND_LIMITS.md,Subscription and paywall management,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
PrivacyPolicyView,PrivacyPolicyView,billing/entitlements,OpenIntelligence/Features/Billing/PrivacyPolicyView.swift,PrivacyPolicyView,section,"StoreKit, EntitlementStore",library/container management,UserDefaults/Keychain,Keychain,no,no,no,no,high,Docs/BILLING_AND_LIMITS.md,Subscription and paywall management,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
TermsOfServiceView,TermsOfServiceView,billing/entitlements,OpenIntelligence/Features/Billing/TermsOfServiceView.swift,TermsOfServiceView,section,"StoreKit, EntitlementStore",library/container management,UserDefaults/Keychain,Keychain,no,no,no,no,high,Docs/BILLING_AND_LIMITS.md,Subscription and paywall management,code_verified,exact,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
CameraManager,CameraManager,OCR/extraction,OpenIntelligence/Features/Camera/CameraManager.swift,"CameraManager, ClassificationCategory, CameraError","configureSession, startSession, stopSession, setFlash, captureFullAnalysis",,,,,no,no,no,no,medium,Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,Text/Layout extraction from PDFs and Images,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
CameraVisionOverlayView,CameraVisionOverlayView,document import,OpenIntelligence/Features/Camera/CameraVisionOverlayView.swift,"CameraVisionOverlayView, RegionType, DetectedRegion, PoseJoint, PoseConnection, DetectedPose, FrameAnalysis, CaptureResult, CaptureType, StructuredCaptureElement, ElementType, CameraPreviewLayer, CameraPreviewUIView, DetectionOverlayView, FaceSilhouetteOverlay, HumanSilhouetteOverlay, RegionBoundingBox, PoseWireframeOverlay, HumanWireframe, AnimalWireframe, WireframeLine, WireframeJoint, CaptureConfirmationSheet, StatBadge, MetricPill","colorForDetectedObject, handleFrameAnalysis, smoothDocumentRegions, captureTextOnly, performFullCapture",,,,,no,no,no,no,low,Docs/INGESTION_PIPELINE.md,Manages files import from disk or camera,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
CaptureToRAGBridge,CaptureToRAGBridge,OCR/extraction,OpenIntelligence/Features/Camera/CaptureToRAGBridge.swift,CaptureIngestionError,"ingestCapture, ingestImageWithDescription, formatAsMarkdown, generateTitle, generateTitleFromText",,,,,no,no,no,no,medium,Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,Text/Layout extraction from PDFs and Images,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
DocumentCaptureView,DocumentCaptureView,OCR/extraction,OpenIntelligence/Features/Camera/DocumentCaptureView.swift,"DocumentCaptureView, CaptureMode, SmartCaptureResult, SmartCaptureManager, Category, CaptureError, SmartOverlay, ModeIndicator, LivePreviewBadge, CameraPreview, PreviewView, DocumentCorners, CaptureButton, SmartCaptureConfirmation, CaptureFlowLayout, FlowResult","capture, ingest, configureSession, start, stop",,,,,no,no,no,no,medium,Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,Text/Layout extraction from PDFs and Images,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ActivityView,ActivityView,chat UI,OpenIntelligence/Features/Chat/Conversation/ActivityView.swift,"ActivityView, ActivityView","makeUIViewController, updateUIViewController",,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
AttachmentPicker,AttachmentPicker,chat UI,OpenIntelligence/Features/Chat/Conversation/AttachmentPicker.swift,"ChatAttachment, AttachmentType, PhotoPicker, Coordinator, PhotoPicker, CameraPicker, Coordinator, CameraPicker, AttachmentPreviewChip, AttachmentMenuButton, ExtendedDocumentPicker, Coordinator, ExtendedDocumentPicker","makeUIViewController, updateUIViewController, makeCoordinator, picker, makeUIViewController",,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ChatComposerV2,ChatComposerV2,chat UI,OpenIntelligence/Features/Chat/Conversation/ChatComposerV2.swift,ChatComposerV2,"handlePickedFiles, send",,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ChatScreen,ChatScreen,PCC routing/consent,OpenIntelligence/Features/Chat/Conversation/ChatScreen.swift,"ConsolidatedMetrics, ContinuedQueryCoordinator, ChatScreen, TransformAction, ChatHeader, ContextStatusBarView, CompactChatHeader, QualityModeQuickPicker, AccuracyModeBadge, StatChip, MessageListEmptyContent, FirstQueryPromptView, ChatV2FeatureRow, ComposerStub, AppReviewPromptPolicy, AppReviewPromptTracker, Keys","begin, markEmbedding, markSearching, markGenerating, markFirstToken","AppleFoundationModels, SettingsStore",retrieval,UserDefaults,,no,yes,yes,no,high,Docs/PRIVACY_AND_ROUTING.md,PCC boundary routing and user consent,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
EventToasts,EventToasts,chat UI,OpenIntelligence/Features/Chat/Conversation/EventToasts.swift,"ToastItem, EventToastView, ToastStackView, ToastManager, ToastOverlayModifier, PreviewWrapper","embedding, searching, generating, complete, error",,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
MessageActionsBar,MessageActionsBar,chat UI,OpenIntelligence/Features/Chat/Conversation/MessageActionsBar.swift,"MessageActionsBar, ActionButton, ActionButtonStyle, MessageMetadataPanel, MetricRow","copyToClipboard, makeBody, formatTTFT",,,,,no,yes,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
MessageBubbleV2,MessageBubbleV2,verification gates,OpenIntelligence/Features/Chat/Conversation/MessageBubbleV2.swift,"MessageBubbleV2, SharePayload, BubbleShape, ReasoningStepView, VerificationBadge, VerificationStatus","relativeTime, shareMessage, exportPipelineTrace, toggleHidden, submitReport",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
MessageListV2,MessageListV2,chat UI,OpenIntelligence/Features/Chat/Conversation/MessageListV2.swift,"MessageListV2, EmptyStateV2, StreamingBubbleV2, TypingBubbleV2, LivePipelinePreview, BottomAnchorYPreferenceKey, BottomAnchorGeometry","scrollToBottom, reduce",,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ViewAnnotations,ViewAnnotations,App Intents/Siri/Shortcuts,OpenIntelligence/Features/Chat/Conversation/ViewAnnotations.swift,"ActiveDocumentAnnotationModifier, ActiveLibraryAnnotationModifier","annotateActiveDocument, annotateActiveLibrary, body, body","retrieval, document import",SiriDaemon,,,no,no,no,yes,high,Docs/ROADMAP.md,Siri and Shortcuts automation triggers,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
PipelineTraceExporter,PipelineTraceExporter,export/reporting,OpenIntelligence/Features/Chat/Pipeline/PipelineTraceExporter.swift,PipelineTraceExporter,"buildTrace, exportToFile, trustedLegacySectionPath, trustedLegacySectionLabel, sanitizedPreviewContent",,,,,no,no,no,no,low,Docs/EVALS.md,"Exports test logs, diagnostics, and reports",code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ProcessingModels,ProcessingModels,chat UI,OpenIntelligence/Features/Chat/Pipeline/ProcessingModels.swift,"ChatExecutionLocation, ChatProcessingStage",,,,,,no,no,no,no,low,README.md,Chat interactive user interfaces,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
AnswerIntelligenceView,AnswerIntelligenceView,verification gates,OpenIntelligence/Features/Chat/Response/AnswerIntelligenceView.swift,"AnswerIntelligence, GateDetail, SourceInfo, ConfidenceLevel, AnswerIntelligenceView, Section, AnswerIntelligenceBadge","metricCard, gateRow, sourceRow, from, gateName",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ContextUsageIndicator,ContextUsageIndicator,citations/source rendering,OpenIntelligence/Features/Chat/Response/ContextUsageIndicator.swift,"ContextUsageIndicator, ContextSegment, LegendItem, CompactContextIndicator, CircularContextGauge","segmentWidth, formatNumber",,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
EnhancedCodeBlock,EnhancedCodeBlock,citations/source rendering,OpenIntelligence/Features/Chat/Response/EnhancedCodeBlock.swift,"EnhancedCodeBlock, SyntaxHighlightedLine, CompactCodeBlock, ContentView","copyCode, applyHighlighting",,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
GroundedAnswerView,GroundedAnswerView,citations/source rendering,OpenIntelligence/Features/Chat/Response/GroundedAnswerView.swift,"GroundedAnswerView, ClaimCard, IdentifiableChunk",,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ReportMessageSheet,ReportMessageSheet,citations/source rendering,OpenIntelligence/Features/Chat/Response/ReportMessageSheet.swift,"ReportReason, ReportMessageSheet",buildReportText,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ResponseDetailsView,ResponseDetailsView,verification gates,OpenIntelligence/Features/Chat/Response/ResponseDetailsView.swift,"ChatResponseDetailsView, VerificationInfo, VerificationLevel, MatchQualityPill, SourceCard, PerfMetricRow, ResponseDetailMetricRow","routeTraceSection, tokenBudgetSection, tokenBarSegment, tokenBudgetStat, summaryStatItem",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
RetrievalQualityView,RetrievalQualityView,citations/source rendering,OpenIntelligence/Features/Chat/Response/RetrievalQualityView.swift,"RetrievalQualityBar, SimilarityBar, CompactQualityIndicator, QualityGauge, QualityRadar","scoreColor, gaugeColor, mock",,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
RetrievalSourcesTray,RetrievalSourcesTray,citations/source rendering,OpenIntelligence/Features/Chat/Response/RetrievalSourcesTray.swift,"RetrievalSourcesTray, ShimmerBar",,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
SourceChipsView,SourceChipsView,citations/source rendering,OpenIntelligence/Features/Chat/Response/SourceChipsView.swift,"SourceChipsView, SourceChip, MoreChip, ChipData","similarityColor, qualityTier",,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
SourceFidelityStatus,SourceFidelityStatus,citations/source rendering,OpenIntelligence/Features/Chat/Response/SourceFidelityStatus.swift,"SourceFidelityStatus, FidelityLevel",,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
StatusPillV2,StatusPillV2,citations/source rendering,OpenIntelligence/Features/Chat/Response/StatusPillV2.swift,"StatusPillV2, StageDot, ExecutionChip",formatElapsed,,,,,no,yes,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ThinkingStreamView,ThinkingStreamView,verification gates,OpenIntelligence/Features/Chat/Response/ThinkingStreamView.swift,"ThinkingStreamView, ViewMode, ConsoleLogRow, ThinkingPulse","formatElapsed, colorFor",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
TimingBreakdownView,TimingBreakdownView,citations/source rendering,OpenIntelligence/Features/Chat/Response/TimingBreakdownView.swift,"TimingBreakdownView, TimingRow, TimingChipsRow, TimingChip","barWidth, percentage, formatDuration, formatDuration, formatDuration",,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
ToolCallBadge,ToolCallBadge,generation,OpenIntelligence/Features/Chat/Response/ToolCallBadge.swift,"ToolCallBadge, MicroToolCallBadge",,,,,,no,no,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
UnifiedMetricsBar,UnifiedMetricsBar,generation,OpenIntelligence/Features/Chat/Response/UnifiedMetricsBar.swift,"RetrievalMode, UnifiedMetricsBar, MiniSparkline, PanelHeightPreferenceKey","matchScoreColor, sourceQualityLabel, formatTokenCount, formatLargeCount, confidenceColorFor",,,,,no,yes,no,no,medium,Docs/Engineering/RAG_TECHNICAL.md,Local/remote LLM text generation coordination,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
VerificationGatesOverlayView,VerificationGatesOverlayView,verification gates,OpenIntelligence/Features/Chat/Response/VerificationGatesOverlayView.swift,"VerificationGatesOverlayView, GateStatus, VerificationGate, GateRowView","initialGates, updateGateStatuses, isFailed",,,,,no,no,no,no,medium,Docs/RETRIEVAL_PIPELINE.md,Validates generation facts and scores output confidence,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
VisualEvidenceCard,VisualEvidenceCard,citations/source rendering,OpenIntelligence/Features/Chat/Response/VisualEvidenceCard.swift,VisualEvidenceCard,,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
WritingToolsResultSheet,WritingToolsResultSheet,citations/source rendering,OpenIntelligence/Features/Chat/Response/WritingToolsResultSheet.swift,WritingToolsResultSheet,,,,,,no,no,no,no,low,Docs/RETRIEVAL_PIPELINE.md,Source citations visualization in UI,code_verified,high,Phase 2 Recovered Inventories,delta_repair.py,Delta repaired against Phase 2
