task_type,subsystem,likely_files,read_first_docs,allowed_edit_paths,forbidden_edit_paths,required_tests,required_docs_to_update,approval_required,risk_level,confidence
semantic_chunking_change,semantic chunking,"OpenIntelligence/Services/Document/Chunking/SemanticChunker.swift; OpenIntelligence/Core/Models/DocumentChunk.swift","Docs/INGESTION_PIPELINE.md; Docs/AuditArtifacts/ArchitectureAtlas/subsystem_map.md","OpenIntelligence/Services/Document/Chunking/**; OpenIntelligenceTests/Services/Document/Chunking/**","DocumentChunk persisted shape (breaks stored chunk metadata)","xcodebuild test -only-testing SemanticChunkerTests; bash scripts/build_simulator_smoke.sh","Docs/INGESTION_PIPELINE.md; CHANGELOG.md",plan_approval_before_edit,medium,high
vector_storage_change,vector storage,"OpenIntelligence/Services/VectorStore/BNNSVectorDatabase.swift; OpenIntelligence/Services/VectorStore/VectorStoreRouter.swift","Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md section 6; Docs/AuditArtifacts/FinalReview/final_unresolved_risks.csv (R09)",none_without_named_approval,"OpenIntelligence/Services/VectorStore/BNNSVectorDatabase.swift format/mmap layout (invalidates user indexes)","full xcodebuild test; re-index compatibility plan review","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; CHANGELOG.md",always,high,high
sqlite_fts_change,SQLite/FTS storage,"OpenIntelligence/Services/Storage/SQLiteFullTextService.swift","Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md sections 3 and 6; Docs/AuditArtifacts/ArchitectureAtlas/storage_touchpoints.csv",none_without_named_approval,"schema/destructive migration of the shared SQLite file; FTS5 tokenizer normalization contract","full xcodebuild test; keyword search regression check post-change","Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; CHANGELOG.md",always,high,high
chat_ui_change,chat UI / citations/source rendering,"OpenIntelligence/Features/Chat/**; OpenIntelligence/UI/**",Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md sections 5-6,"OpenIntelligence/Features/Chat/**; OpenIntelligence/UI/**",OpenIntelligence/Core/Models/ChatMessage.swift model shape,"bash scripts/build_simulator_smoke.sh; full xcodebuild test","WHATS_NEW.md; Docs/USER_CHANGELOG.md (if user-visible)",plan_approval_before_edit,low,high
documentation_governance_change,docs/audits,"Docs/**; README.md; PRIVACY.md; CHANGELOG.md","Docs/AgentPlaybooks/02_DOCUMENTATION_RECONCILIATION.md; Docs/AgentPlaybooks/03_CHANGE_IMPACT_DOC_UPDATE.md; Docs/DOCUMENTATION_CONSISTENCY_AUDIT.md","Docs/**; README.md; PRIVACY.md; CHANGELOG.md (additive; never delete docs)","canonical docs edited to contradict code (requires new atlas pass per canonical section 16); all Swift and config files","git status --porcelain limited to docs; evidence tags present on all changed claims","the changed docs themselves; Docs/DOCUMENTATION_CONSISTENCY_AUDIT.md if items closed",no_for_pure_docs,low,high
release_readiness_check,verification gates / release,read-only across repo,"Docs/RepoOS/04_RELEASE_READINESS_DASHBOARD.md; Docs/AuditArtifacts/FinalReview/final_readiness_matrix.csv","Docs/AuditArtifacts/** (new dated report only)",all source and config files (read-only task),"execute every dashboard row; bash scripts/build_simulator_smoke.sh; full xcodebuild test",new report under Docs/AuditArtifacts/,no_but_report_to_user,low,high
app_store_copy_update,release / marketing surfaces,"fastlane/**; WHATS_NEW.md; Docs/USER_CHANGELOG.md; PRIVACY.md","Docs/PRIVACY_AND_ROUTING.md; Docs/LIMITATIONS.md; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md sections 3-4","fastlane/** metadata; WHATS_NEW.md; Docs/USER_CHANGELOG.md; PRIVACY.md","any claim contradicting canonical section 4 (no CloudKit; no unconditional enclave promises); all Swift files","claim-by-claim cross-check table against canonical section 3",the edited copy files,always_before_publishing,medium,high
build_project_config_change,build/config,"OpenIntelligence.xcodeproj/project.pbxproj; Package.swift; Info.plist; ci_scripts/**",Docs/RepoOS/03_FORBIDDEN_EDIT_BOUNDARIES.md,none_without_named_approval,"OpenIntelligence.xcodeproj/project.pbxproj; OpenIntelligence/OpenIntelligence.entitlements; OpenIntelligence/Resources/StoreKit/StoreKitConfiguration.storekit; Info.plist capability keys","bash scripts/build_simulator_smoke.sh; archive dry-run if signing-related",CHANGELOG.md,always,high,exact
app_icon_appearance_change,app icon / asset catalog,"OpenIntelligence/Resources/Assets/Assets.xcassets/AppIcon.appiconset/**",Docs/RepoOS/03_FORBIDDEN_EDIT_BOUNDARIES.md; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md,"OpenIntelligence/Resources/Assets/Assets.xcassets/AppIcon.appiconset/**","OpenIntelligence.xcodeproj/project.pbxproj; OpenIntelligence/OpenIntelligence.entitlements; Info.plist capability keys","python3 -m json.tool OpenIntelligence/Resources/Assets/Assets.xcassets/AppIcon.appiconset/Contents.json; xcrun actool asset-catalog validation; bash scripts/build_simulator_smoke.sh","WHATS_NEW.md; Docs/USER_CHANGELOG.md; CHANGELOG.md",plan_approval_before_edit,low,high
tests_only_change,tests,"OpenIntelligenceTests/**",Docs/AuditArtifacts/ArchitectureAtlas/subsystem_map.md (tests section),"OpenIntelligenceTests/**",production Swift under OpenIntelligence/,"full xcodebuild test (new tests must pass)",CHANGELOG.md (if notable),no_for_pure_tests,low,high
diagnostics_telemetry_change,diagnostics/telemetry,"OpenIntelligence/Features/Telemetry/**; OpenIntelligence/Services/Infrastructure/Monitoring/**",Docs/EVALS.md; Docs/AuditArtifacts/ArchitectureAtlas/subsystem_map.md,"OpenIntelligence/Features/Telemetry/**; OpenIntelligence/Features/Diagnostics/**; OpenIntelligence/Services/Infrastructure/Monitoring/**","OpenIntelligence/Features/Chat/Pipeline/PipelineTraceExporter.swift privacy posture (plain-text export risk)","bash scripts/build_simulator_smoke.sh",CHANGELOG.md,plan_approval_before_edit,low,high
repoos_workspace_automation,developer governance/automation,".codex/skills/**; .agents/**; .claude/**; CLAUDE.md; Docs/ai/**; Docs/RepoOS/**; Docs/AuditArtifacts/RepoOS/**; AGENTS.md","AGENTS.md; CLAUDE.md; .codex/skills/route-openintelligence-work/SKILL.md; .agents/rules/00-repoos-routing.md; .agents/rules/01-docs-and-notion-sync.md",".codex/skills/**; .agents/**; .claude/**; CLAUDE.md; Docs/ai/**; Docs/RepoOS/**; Docs/AuditArtifacts/RepoOS/**; AGENTS.md; README.md; CHANGELOG.md; Docs/RELEASE_NOTES.md; Docs/ROADMAP.md; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; Docs/AppleIntelligenceTransitionPlan.md; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md","OpenIntelligence/**; OpenIntelligence.xcodeproj/**; Info.plist; Package.swift; Package.resolved; *.storekit; *.entitlements","python3 /Users/gunnarhostetler/.codex/skills/.system/skill-creator/scripts/quick_validate.py .codex/skills/route-openintelligence-work; python3 .codex/skills/route-openintelligence-work/scripts/test_repoos_router.py; python3 .codex/skills/route-openintelligence-work/scripts/repoos_router.py preflight --task 'Create a RepoOS Codex routing skill'; python3 scripts/secret_scan.py; bash scripts/build_simulator_smoke.sh","Docs/RepoOS/00_REPO_COMMAND_CENTER.md; Docs/RepoOS/01_TASK_ROUTER.md; Docs/AuditArtifacts/RepoOS/change_impact_matrix.csv; README.md; CHANGELOG.md; Docs/RELEASE_NOTES.md; Docs/ROADMAP.md; Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md; Docs/AppleIntelligenceTransitionPlan.md; Docs/CANONICAL_OPENINTELLIGENCE_SOURCE_OF_TRUTH.md",plan_approval_before_edit,low,exact
