path,current_purpose,recommended_disposition,reason,stale_claims,contradictions,overgeneralized_sections,canonical_replacement,merge_target_if_any,archive_reason_if_any,delete_candidate_reason_if_any,evidence_level,confidence,evidence_source,evidence_command_or_file,verification_notes,post_phase_9b_state
Docs/INGESTION_PIPELINE.md,Document ingestion process.,UPDATE,Needs removal of pronouns (CON14) and alignment with physical ingestion rules.,None,CON14 (uses first person pronouns).,None,None,None,None,None,code_verified,exact,LayoutAwareExtractor.swift,view_file,Incorporates Vision OCR logic.,Cleaned
Docs/LIMITATIONS.md,Factual disclaimers on limits and safety.,KEEP,"Crucial limitations disclaimer, verified up to date.",None,None,None,None,None,None,None,doc_claim_only,exact,Docs/LIMITATIONS.md,view_file,Fully verified.,Cleaned
Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,Master architecture map.,KEEP,Synthesized canonical control document from Phase 8.,None,None,None,None,None,None,None,code_verified,exact,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,view_file,Canonical atlas.,Cleaned
Docs/PRIVACY_AND_ROUTING.md,Detailed data privacy and local-routing policies.,UPDATE,Stale claims about remote PCC secure enclaves and pronoun violations.,Apple secure enclave PCC execution.,"CON04, CON08.",Routing policies.,None,None,None,None,code_verified,exact,EngineSDKCompatibility.swift,view_file,PCC resolves to local simulated wrapper.,Cleaned
Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT.md,Initial evidence threads design and product strategy.,ARCHIVE,"Superseded by the V2 audit, kept as historical context.",None,None,None,Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT_V2.md,None,Replaced by updated V2 audit.,None,artifact_derived,exact,Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT_V2.md,view_file,Historical audit.,Cleaned
Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT_V2.md,Updated product positioning and evidence threads MVP plans.,ARCHIVE,"Historical design/strategy audit, kept as reference.",None,None,None,None,None,Historical feature design document.,None,artifact_derived,exact,Docs/PRODUCT_POSITIONING_AND_EVIDENCE_THREADS_AUDIT_V2.md,view_file,Factual design record.,Cleaned
Docs/RELEASE_NOTES.md,User-facing release notes.,UPDATE,Stale claims about active Core AI embeddings and pronoun violations.,Core AI embeddings enabled.,Embeddings disabled in branch.,None,None,None,None,None,code_verified,exact,EmbeddingService.swift,view_file,Update release notes to indicate actual model paths.,Cleaned
Docs/RETRIEVAL_PIPELINE.md,Detailed RAG retrieval description.,UPDATE,"Contains style violations and pronouns (CON09, CON10, CON11).",None,"CON09, CON10, CON11.",RRF reranking logic.,None,None,None,None,code_verified,exact,RAGEngine.swift,view_file,Verified stylistic violations.,Cleaned
Docs/ROADMAP.md,Prototype roadmap.,UPDATE,Needs updates to reflect current governance milestones and next development steps.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/ROADMAP.md,view_file,Needs alignment.,Cleaned
Docs/USER_CHANGELOG.md,User-facing product changelog.,KEEP,"Clean, objective changelog, verified accurate.",None,None,None,None,None,None,None,doc_claim_only,exact,Docs/USER_CHANGELOG.md,view_file,Clean artifact.,Cleaned
Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,Factual technical context on Apple's document APIs.,KEEP,Factual reference document for Apple Intelligence platform APIs. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Engineering/APPLE_DOCUMENT_INTELLIGENCE.md,view_file,Reference context.,Cleaned
Docs/Engineering/APPLE_FM_TECH_REPORT_2025.md,Technical notes on Apple's Foundation Models (2025).,KEEP,Factual reference context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Engineering/APPLE_FM_TECH_REPORT_2025.md,view_file,Reference context.,Cleaned
Docs/Engineering/APPLE_MODELS.md,Reference notes on Apple Silicon models.,KEEP,Reference context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Engineering/APPLE_MODELS.md,view_file,Reference context.,Cleaned
Docs/Engineering/HARD_LIMITS.md,Factual limitations and parameters constraint index.,KEEP,Crucial technical constraint index. Verified accurate.,None,None,None,None,None,None,None,code_verified,exact,Docs/Engineering/HARD_LIMITS.md,view_file,Accurate.,Cleaned
Docs/Engineering/PRIVATE_CLOUD_COMPUTE.md,Detail Apple's security model for Private Cloud Compute.,UPDATE,Needs update to add direct disclaimer that remote PCC is simulated locally.,None,PCC remote execution vs local simulation.,None,None,None,None,None,code_verified,exact,EngineSDKCompatibility.swift,view_file,Update file to add local fallback note.,Cleaned
Docs/Engineering/RAG_TECHNICAL.md,"Formulas, steps, and technical specifications for RAG.",ARCHIVE,Contains outdated references to non-existent files and overgeneralized token budget claims.,CURRENT_STATE_AND_GAPS.md exists.,None,Context packing token budgets vs CoreML tokenizer reality.,Docs/RETRIEVAL_PIPELINE.md,None,"Completed design spec, kept as historical evidence.",None,doc_claim_only,exact,Docs/Engineering/RAG_TECHNICAL.md,view_file,Superseded by retrieval pipelines docs.,Cleaned
Docs/Engineering/STORAGE_AND_PIPELINE_TRACE.md,Internal database layout and pipeline execution trace.,MERGE,Detailed traces of SQLite tables and vector layouts should be absorbed into the canonical atlas.,None,None,None,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,Docs/OPENINTELLIGENCE_ARCHITECTURE_ATLAS.md,None,None,code_verified,exact,SQLiteFullTextService.swift,view_file,Contains valuable physical SQLite schema details.,Cleaned
Docs/Research/APPLE_INTELLIGENCE_AND_FOUNDATION_MODELS.md,Research on Apple's Intelligence APIs.,KEEP,Pure research context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Research/APPLE_INTELLIGENCE_AND_FOUNDATION_MODELS.md,view_file,Research context.,Cleaned
Docs/Research/CAG_AND_CONTEXT_ENGINEERING_2024_2026.md,Research on Cache-Augmented Generation.,KEEP,Pure research context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Research/CAG_AND_CONTEXT_ENGINEERING_2024_2026.md,view_file,Research context.,Cleaned
Docs/Research/COREML_METAL_ON_DEVICE_AI.md,Research on CoreML and Metal acceleration.,KEEP,Pure research context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Research/COREML_METAL_ON_DEVICE_AI.md,view_file,Research context.,Cleaned
Docs/Research/DOCUMENT_INTELLIGENCE_AND_OCR.md,Research on document layout parsing and OCR systems.,KEEP,Pure research context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Research/DOCUMENT_INTELLIGENCE_AND_OCR.md,view_file,Research context.,Cleaned
Docs/Research/RAG_AND_RETRIEVAL_2024_2026.md,Research on hybrid vector search and reranking.,KEEP,Pure research context. Conforms to Rule 5.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Research/RAG_AND_RETRIEVAL_2024_2026.md,view_file,Research context.,Cleaned
Docs/Research/README.md,Research index mapping file paths.,KEEP,Factual index mapping for developers.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/Research/README.md,view_file,Factual index.,Cleaned
Docs/AgentPlaybooks/README.md,Agent playbook directory index.,KEEP,Essential index for agent workflow.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/README.md,view_file,Active playbook index.,Cleaned
Docs/AgentPlaybooks/00_SUPERSEDING_EVIDENCE_PROTOCOL.md,Strict rules for evidence classification and reporting.,KEEP,Mandatory workflow gate protocol.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/00_SUPERSEDING_EVIDENCE_PROTOCOL.md,view_file,Master protocol.,Cleaned
Docs/AgentPlaybooks/01_PHASED_ARCHITECTURE_ATLAS.md,Workflow phase guidelines.,KEEP,Active process guideline.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/01_PHASED_ARCHITECTURE_ATLAS.md,view_file,Active phased playbook.,Cleaned
Docs/AgentPlaybooks/02_DOCUMENTATION_RECONCILIATION.md,Workflow guidelines for documentation reconciliation.,KEEP,Active process guideline.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/02_DOCUMENTATION_RECONCILIATION.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/03_CHANGE_IMPACT_DOC_UPDATE.md,Workflow guidelines for post-merge doc updates.,KEEP,Active process guideline.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/03_CHANGE_IMPACT_DOC_UPDATE.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/04_PR_GOVERNANCE_REVIEW.md,Workflow guidelines for pre-merge PR reviews.,KEEP,Active process guideline.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/04_PR_GOVERNANCE_REVIEW.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/05_EVIDENCE_THREADS_IMPLEMENTATION_GUARDRAILS.md,Implementation boundaries for Evidence Threads.,KEEP,Active process guideline.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/05_EVIDENCE_THREADS_IMPLEMENTATION_GUARDRAILS.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/architecture-atlas-update.md,Short playbook for atlas updates.,KEEP,Factual reference note.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/architecture-atlas-update.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/change-impact-docs-update.md,Short playbook for impact updates.,KEEP,Factual reference note.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/change-impact-docs-update.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/documentation-reconciliation.md,Short playbook for doc reconciliation.,KEEP,Factual reference note.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/documentation-reconciliation.md,view_file,Active playbook.,Cleaned
Docs/AgentPlaybooks/pr-review-docs-gate.md,Short playbook for PR gating.,KEEP,Factual reference note.,None,None,None,None,None,None,None,doc_claim_only,exact,Docs/AgentPlaybooks/pr-review-docs-gate.md,view_file,Active playbook.,Cleaned
